split,speaker,noise,noise_group,snr_target_db,candidate_id,family,execution_mode,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,block_count,block_mean_ms,block_p95_ms,block_p99_ms,block_worst_ms,processing_ms,rtf,state_memory_bytes,speech_block_fraction,warming_blocks
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,bypass,baseline,causal_blocks,-5.0000000659799575,-5.0000000659799575,0.0,-5.034089121094766,-5.034089121094766,0.0,150,0.022030000000086147,0.027010000303562192,0.03871499962770025,0.07019999975454994,3.304500000012922,0.0011015000000043074,57952,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,subtraction_initial_legacy,stft_subtraction,offline_file,-5.0000000659799575,0.8200722397447157,5.820072305724673,-5.034089121094766,-2.561142613070925,2.472946508023841,1,10.08189999993192,10.08189999993192,10.08189999993192,10.08189999993192,10.08189999993192,0.00336063333331064,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,subtraction_low_energy_offline,stft_subtraction,offline_file,-5.0000000659799575,0.12022022607725133,5.120220292057208,-5.034089121094766,-2.8399039609143446,2.1941851601804214,1,9.251800000129151,9.251800000129151,9.251800000129151,9.251800000129151,9.251800000129151,0.003083933333376384,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,subtraction_calibration_causal,stft_subtraction,causal_blocks,-5.0000000659799575,1.724474753466417,6.724474819446375,-5.034089121094766,-2.1674282423278712,2.866660878766895,150,0.5545853333084475,0.8845349997500298,1.0887739998361206,1.6114999998535495,83.18779999626713,0.027729266665422376,60900,0.0,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,subtraction_adaptive_causal,stft_subtraction,causal_blocks,-5.0000000659799575,0.38659065368113205,5.38659071966109,-5.034089121094766,-1.0879728880255648,3.9461162330692012,150,1.7467246666395415,2.7438199996140598,3.143219999892607,3.272899999501533,262.00869999593124,0.08733623333197708,60900,0.28,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,wiener_initial_legacy,stft_wiener,offline_file,-5.0000000659799575,-2.0741258603597506,2.925874205620207,-5.034089121094766,-4.349904023816681,0.6841850972780854,1,5.159800000001269,5.159800000001269,5.159800000001269,5.159800000001269,5.159800000001269,0.0017199333333337563,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,wiener_low_energy_offline,stft_wiener,offline_file,-5.0000000659799575,-3.2086119576659473,1.7913881083140102,-5.034089121094766,-4.720423392873778,0.3136657282209878,1,5.832899999404617,5.832899999404617,5.832899999404617,5.832899999404617,5.832899999404617,0.0019442999998015391,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,wiener_adaptive_causal,stft_wiener,causal_blocks,-5.0000000659799575,-3.305094696449606,1.6949053695303515,-5.034089121094766,-3.6154046407775047,1.4186844803172614,150,1.610973333329942,2.4614349999865226,2.8097940003408426,3.2436000001325738,241.64599999949132,0.08054866666649711,60900,0.28,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,bypass,baseline,causal_blocks,-1.358638013928369e-07,-1.358638013928369e-07,0.0,-0.019142349265651327,-0.019142349265651327,0.0,150,0.03071133332317307,0.03741000009540585,0.049576999845157815,0.06519999988086056,4.6066999984759605,0.0015355666661586536,57952,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,subtraction_initial_legacy,stft_subtraction,offline_file,-1.358638013928369e-07,3.972398355013997,3.9723984908777985,-0.019142349265651327,1.7669925975788758,1.7861349468445271,1,12.43129999966186,12.43129999966186,12.43129999966186,12.43129999966186,12.43129999966186,0.004143766666553954,0,0.0,0
