tempo_s,freq_khz,potencia_db_rel
0.016,0,-70
0.096,0,-70
0.168,0,-70
0.248,0,-70
0.32,0,-26.01162
0.4,0,-25.823547
0.472,0,-43.8438
0.552,0,-36.561222
0.624,0,-70
0.704,0,-42.615284
0.776,0,-47.762814
0.856,0,-58.791168
0.928,0,-70
1.008,0,-51.228745
1.08,0,-33.049618
1.16,0,-47.85614
1.232,0,-66.22039
1.312,0,-28.419319
1.384,0,-26.658348
1.464,0,-39.135788
1.536,0,-44.251213
1.616,0,-70
1.688,0,-67.187294
1.768,0,-32.041553
1.84,0,-36.311005
1.92,0,-30.076462
1.992,0,-34.375896
2.072,0,-57.669243
2.144,0,-70
2.224,0,-70
2.296,0,-26.641762
2.376,0,-47.131386
2.448,0,-42.160995
2.528,0,-53.778648
2.6,0,-70
2.68,0,-70
2.752,0,-43.813633
2.832,0,-51.419281
2.904,0,-51.263657
2.984,0,-42.247738
0.016,0.15625,-70
0.096,0.15625,-70
0.168,0.15625,-70
0.248,0.15625,-70
0.32,0.15625,-12.018981
0.4,0.15625,-17.877396
0.472,0.15625,-21.892838
0.552,0.15625,-22.657234
0.624,0.15625,-70
0.704,0.15625,-16.427391
0.776,0.15625,-18.947334
0.856,0.15625,-23.727135
0.928,0.15625,-22.810829
1.008,0.15625,-21.954113
1.08,0.15625,-15.926606
1.16,0.15625,-28.073502
1.232,0.15625,-70
1.312,0.15625,-10.941493
1.384,0.15625,-15.459096
1.464,0.15625,-16.029236
1.536,0.15625,-21.132179
1.616,0.15625,-70
1.688,0.15625,-55.150993
1.768,0.15625,-12.639169
1.84,0.15625,-15.496854
1.92,0.15625,-20.180779
1.992,0.15625,-15.226848
2.072,0.15625,-33.227638
2.144,0.15625,-49.353951
2.224,0.15625,-58.158775
2.296,0.15625,-20.826298
2.376,0.15625,-24.051899
2.448,0.15625,-25.985821
2.528,0.15625,-31.175842
2.6,0.15625,-41.228336
2.68,0.15625,-70
2.752,0.15625,-27.910439
2.832,0.15625,-29.112701
2.904,0.15625,-32.329681
2.984,0.15625,-27.094009
0.016,0.34375,-70
0.096,0.34375,-70
0.168,0.34375,-70
0.248,0.34375,-70
0.32,0.34375,-1.5493202
0.4,0.34375,-2.3360672
0.472,0.34375,-15.198022
0.552,0.34375,-20.104702
0.624,0.34375,-70
0.704,0.34375,-18.779526
0.776,0.34375,-34.951054
0.856,0.34375,-22.939564
0.928,0.34375,-26.876038
1.008,0.34375,-21.75985
1.08,0.34375,-31.749756
1.16,0.34375,-41.546421
1.232,0.34375,-70
1.312,0.34375,0
1.384,0.34375,-2.6521873
1.464,0.34375,-6.5413389
1.536,0.34375,-18.359573
1.616,0.34375,-70
1.688,0.34375,-52.083046
1.768,0.34375,-13.198703
1.84,0.34375,-11.058576
1.92,0.34375,-4.8478708
1.992,0.34375,-17.089527
2.072,0.34375,-30.526031
2.144,0.34375,-41.863625
2.224,0.34375,-38.653645
2.296,0.34375,-10.403211
2.376,0.34375,-11.629525
2.448,0.34375,-13.170384
2.528,0.34375,-28.397301
2.6,0.34375,-55.095375
2.68,0.34375,-63.965271
2.752,0.34375,-26.164406
2.832,0.34375,-31.692734
2.904,0.34375,-27.957359
2.984,0.34375,-20.567402
0.016,0.5,-70
0.096,0.5,-70
0.168,0.5,-70
0.248,0.5,-70
0.32,0.5,-17.975788
0.4,0.5,-15.114944
0.472,0.5,-28.153381
0.552,0.5,-13.898318
0.624,0.5,-70
0.704,0.5,-17.281921
0.776,0.5,-20.484867
0.856,0.5,-21.392212
0.928,0.5,-22.912243
1.008,0.5,-23.438896
1.08,0.5,-32.918362
1.16,0.5,-37.192902
1.232,0.5,-70
1.312,0.5,-15.471892
1.384,0.5,-10.45835
1.464,0.5,-18.403828
1.536,0.5,-35.176079
1.616,0.5,-70
1.688,0.5,-54.427055
1.768,0.5,-16.443344
1.84,0.5,-14.1724
