tempo_s,freq_khz,potencia_db_rel
0.016,0,-19.381149
0.096,0,-17.627079
0.168,0,-20.028244
0.248,0,-21.858746
0.32,0,-24.876675
0.4,0,-10.585231
0.472,0,-12.399137
0.552,0,-27.150024
0.624,0,-45.457222
0.704,0,-10.877692
0.776,0,-12.492423
0.856,0,-19.239357
0.928,0,-32.163994
1.008,0,-27.309349
1.08,0,-29.02882
1.16,0,-25.019745
1.232,0,-27.399715
1.312,0,-22.380772
1.384,0,-16.476936
1.464,0,-24.614223
1.536,0,-14.192883
1.616,0,-15.863452
1.688,0,-20.471485
1.768,0,-30.260998
1.84,0,-11.915137
1.92,0,-20.89473
1.992,0,-10.103515
2.072,0,-19.698509
2.144,0,-14.0631
2.224,0,-40.558891
2.296,0,-14.410422
2.376,0,-32.437702
2.448,0,-13.919818
2.528,0,-19.259171
2.6,0,-34.813156
2.68,0,-27.796074
2.752,0,-17.912598
2.832,0,-13.62884
2.904,0,-15.878131
2.984,0,-26.904713
0.016,0.15625,-35.7271
0.096,0.15625,-36.739918
0.168,0.15625,-40.188904
0.248,0.15625,-41.123383
0.32,0.15625,-11.149167
0.4,0.15625,-17.745331
0.472,0.15625,-20.606491
0.552,0.15625,-20.548092
0.624,0.15625,-40.069881
0.704,0.15625,-18.575348
0.776,0.15625,-18.572266
0.856,0.15625,-27.048958
0.928,0.15625,-21.9846
1.008,0.15625,-24.894997
1.08,0.15625,-16.100285
1.16,0.15625,-29.454689
1.232,0.15625,-38.765522
1.312,0.15625,-10.017089
1.384,0.15625,-17.198784
1.464,0.15625,-16.523235
1.536,0.15625,-20.294193
1.616,0.15625,-50.754402
1.688,0.15625,-41.75882
1.768,0.15625,-12.858169
1.84,0.15625,-17.032005
1.92,0.15625,-17.090652
1.992,0.15625,-15.015706
2.072,0.15625,-31.420029
2.144,0.15625,-39.105095
2.224,0.15625,-40.457664
2.296,0.15625,-20.393509
2.376,0.15625,-24.26767
2.448,0.15625,-28.679802
2.528,0.15625,-32.684891
2.6,0.15625,-36.765793
2.68,0.15625,-36.568127
2.752,0.15625,-28.559605
2.832,0.15625,-30.171276
2.904,0.15625,-29.314667
2.984,0.15625,-29.574585
0.016,0.34375,-47.639343
0.096,0.34375,-50.782227
0.168,0.34375,-53.595932
0.248,0.34375,-57.438606
0.32,0.34375,-3.9562235
0.4,0.34375,-4.381217
0.472,0.34375,-24.030567
0.552,0.34375,-22.90958
0.624,0.34375,-54.183449
0.704,0.34375,-28.126789
0.776,0.34375,-35.298065
0.856,0.34375,-37.93161
0.928,0.34375,-27.162621
1.008,0.34375,-44.793373
1.08,0.34375,-27.315868
1.16,0.34375,-37.69857
1.232,0.34375,-52.761513
1.312,0.34375,-1.9448605
1.384,0.34375,-4.3451052
1.464,0.34375,-10.645816
1.536,0.34375,-29.97995
1.616,0.34375,-60.83596
1.688,0.34375,-52.892471
1.768,0.34375,-17.555614
1.84,0.34375,-16.266705
1.92,0.34375,-7.8482695
1.992,0.34375,-25.606781
2.072,0.34375,-40.267063
2.144,0.34375,-53.103249
2.224,0.34375,-52.62204
2.296,0.34375,-10.425277
2.376,0.34375,-11.671702
2.448,0.34375,-16.371391
2.528,0.34375,-41.200298
2.6,0.34375,-49.44693
2.68,0.34375,-49.228973
2.752,0.34375,-35.362091
2.832,0.34375,-33.216072
2.904,0.34375,-30.461994
2.984,0.34375,-22.682056
0.016,0.5,-70
0.096,0.5,-70
0.168,0.5,-70
0.248,0.5,-70
0.32,0.5,-21.988194
0.4,0.5,-13.289109
0.472,0.5,-37.55938
0.552,0.5,-17.194851
0.624,0.5,-70
0.704,0.5,-36.029797
0.776,0.5,-26.816719
0.856,0.5,-25.654671
0.928,0.5,-27.853775
1.008,0.5,-41.047878
1.08,0.5,-70
1.16,0.5,-70
1.232,0.5,-70
1.312,0.5,-17.537376
1.384,0.5,-10.073436
1.464,0.5,-24.47636
1.536,0.5,-70
1.616,0.5,-70
1.688,0.5,-70
1.768,0.5,-19.734547
1.84,0.5,-30.51886
1.92,0.5,-27.01582
1.992,0.5,-46.151203
2.072,0.5,-70
2.144,0.5,-70
2.224,0.5,-70
2.296,0.5,-3.2520876
2.376,0.5,-4.3351526
2.448,0.5,-11.360217
2.528,0.5,-70
2.6,0.5,-70
2.68,0.5,-70
2.752,0.5,-37.386509
2.832,0.5,-28.376282
2.904,0.5,-33.067665
2.984,0.5,-27.013634
0.016,0.6875,-63.884102
0.096,0.6875,-67.736435
0.168,0.6875,-67.264832
0.248,0.6875,-70
0.32,0.6875,-22.446548
0.4,0.6875,-18.432945
0.472,0.6875,-38.020802
0.552,0.6875,-39.205132
0.624,0.6875,-67.828407
0.704,0.6875,-36.587749
0.776,0.6875,-35.894207
0.856,0.6875,-28.733711
0.928,0.6875,-33.013004
1.008,0.6875,-45.417038
1.08,0.6875,-39.699905
1.16,0.6875,-46.575447
1.232,0.6875,-66.063889
1.312,0.6875,-24.434452
1.384,0.6875,-21.575924
1.464,0.6875,-27.458611
1.536,0.6875,-40.804752
1.616,0.6875,-67.992912
1.688,0.6875,-63.82888
