tempo_s,clean,clean_empilhado,noisy,noisy_empilhado,stft_subtraction,stft_subtraction_empilhado,stft_wiener,stft_wiener_empilhado,wavelet_soft,wavelet_soft_empilhado
0,0,3,0,1,0.0013031013,-0.99869692,0.0068317163,-2.9931684,-0.002555008,-5.0025549
0.004625,0,3,-0.066463031,0.93353695,-0.011266244,-1.0112662,-0.016543994,-3.0165441,-0.096929178,-5.0969291
0.00925,0,3,-0.13125482,0.86874521,7.4531978e-05,-0.99992549,-0.001608121,-3.0016081,-0.09945596,-5.0994558
0.013875,0,3,-0.11659954,0.88340044,-0.0096865818,-1.0096866,-0.021112874,-3.0211129,-0.08023075,-5.0802307
0.0185,0,3,-0.021083046,0.97891694,0.0054227086,-0.99457729,0.0083255321,-2.9916744,-0.044050898,-5.0440507
0.023125,0,3,0.0041137654,1.0041138,0.0054927659,-0.99450725,0.0060904534,-2.9939096,0.022945162,-4.9770551
0.02775,0,3,0.110686,1.1106861,0.013569486,-0.98643053,0.026892785,-2.9731071,0.065431498,-4.9345684
0.032375,0,3,0.1207133,1.1207134,0.01813185,-0.98186815,0.032961234,-2.9670389,0.072359778,-4.9276404
0.037,0,3,0.080089867,1.0800898,-0.003556943,-1.003557,-0.0040882332,-3.0040882,0.097001143,-4.9029989
0.041625,0,3,0.085874848,1.0858748,0.015919363,-0.98408061,0.025188494,-2.9748116,0.079745263,-4.9202547
0.04625,0,3,0.067105792,1.0671058,-0.0040476914,-1.0040476,-0.0038781946,-3.0038781,0.070909098,-4.929091
0.050875,0,3,0.10412968,1.1041297,0.021041669,-0.97895831,0.039683603,-2.9603164,0.0044851382,-4.9955149
0.0555,0,3,-0.0034709894,0.99652898,-0.0024372998,-1.0024374,-0.0044850451,-3.0044851,-0.029975545,-5.0299754
0.060125,0,3,-0.055921499,0.94407851,0.015728353,-0.98427165,0.029315809,-2.9706843,-0.10662615,-5.106626
0.06475,0,3,0.029953355,1.0299534,0.035359815,-0.9646402,0.063214466,-2.9367855,-0.11047573,-5.1104755
0.069375,0,3,-0.19373263,0.80626738,-0.021377103,-1.0213771,-0.043848269,-3.0438483,-0.11367185,-5.1136718
0.074,0,3,-0.089988619,0.91001141,0.0017686053,-0.99823141,0.0073439232,-2.992656,-0.10171288,-5.1017127
0.078625,0,3,-0.072376557,0.92762345,-0.0059104408,-1.0059104,-0.012035852,-3.0120358,-0.048297457,-5.0482974
0.08325,0,3,0.097059153,1.0970591,0.013299265,-0.98670071,0.025631966,-2.9743681,0.036496066,-4.9635038
0.087875,0,3,0.098344706,1.0983447,0.0077222437,-0.99227774,0.0095750913,-2.9904249,0.085149378,-4.9148507
0.0925,0,3,-0.015812285,0.98418772,-0.025781175,-1.0257812,-0.047571704,-3.0475717,0.09310206,-4.906898
0.097125,0,3,0.15310921,1.1531092,0.009099694,-0.99090028,0.021527112,-2.9784729,0.13120794,-4.8687921
0.10175,0,3,0.10708645,1.1070864,0.0048547806,-0.9951452,0.0051387241,-2.9948614,0.088735022,-4.9112649
0.106375,0,3,0.13716836,1.1371684,0.020388469,-0.97961152,0.043142982,-2.956857,0.061456453,-4.9385433
0.111,0,3,0.041137651,1.0411377,0.0039514285,-0.99604857,0.0090729631,-2.990927,-0.01602355,-5.0160236
