split,speaker,noise,noise_group,snr_target_db,candidate_id,family,method,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,processing_ms,rtf
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,noisy,baseline,noisy,-5.0000000659799575,-5.0000000659799575,0.0,-5.034089121094766,-5.034089121094766,0.0,0.022600000193051528,7.533333397683843e-06
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,-5.0000000659799575,0.8200722397447157,5.820072305724673,-5.034089121094766,-2.561142613070925,2.472946508023841,9.102499999926295,0.0030341666666420983
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,-5.0000000659799575,-2.0741258603597506,2.925874205620207,-5.034089121094766,-4.349904023816681,0.6841850972780854,6.101599999965401,0.002033866666655134
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,-5.0000000659799575,-4.991641723996816,0.00835834198314167,-5.034089121094766,-10.63020096086278,-5.596111839768014,1.6596999998910178,0.000553233333297006
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,-5.0000000659799575,0.12022022607725133,5.120220292057208,-5.034089121094766,-2.8399039609143446,2.1941851601804214,12.510000000020227,0.004170000000006742
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,-5.0000000659799575,-3.2086119576659473,1.7913881083140102,-5.034089121094766,-4.720423392873778,0.3136657282209878,5.079600000044593,0.0016932000000148644
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,-5,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,-5.0000000659799575,-4.603709683008202,0.39629038297175523,-5.034089121094766,-4.954110123890983,0.07997899720378321,1.4493000001039036,0.00048310000003463455
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,noisy,baseline,noisy,-1.358638013928369e-07,-1.358638013928369e-07,0.0,-0.019142349265651327,-0.019142349265651327,0.0,0.01950000000761065,6.500000002536884e-06
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,-1.358638013928369e-07,3.972398355013997,3.9723984908777985,-0.019142349265651327,1.7669925975788758,1.7861349468445271,10.458200000130091,0.0034860666667100304
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,stft_wiener_default_initial,stft_wiener_default,stft_wiener,-1.358638013928369e-07,2.262555473538201,2.2625556094020025,-0.019142349265651327,0.3254907269340502,0.3446330761997015,5.23509999993621,0.00174503333331207
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,-1.358638013928369e-07,-0.3523045808270916,-0.3523044449632902,-0.019142349265651327,-3.4545284122893523,-3.4353860630237008,1.6049999999268039,0.0005349999999756013
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,-1.358638013928369e-07,4.924818696834463,4.924818832698264,-0.019142349265651327,3.3371049191460878,3.3562472684117393,11.211100000082297,0.0037370333333607655
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,-1.358638013928369e-07,2.0017720204331755,2.001772156296977,-0.019142349265651327,1.076513976615857,1.0956563258815082,4.2516999999406835,0.0014172333333135612
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,-1.358638013928369e-07,0.3522066474032344,0.35220678326703575,-0.019142349265651327,0.17058641374610378,0.18972876301175512,1.3469000000441156,0.00044896666668137186
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,noisy,baseline,noisy,4.999999650816238,4.999999650816238,0.0,4.989251383679722,4.989251383679722,0.0,0.018599999975776882,6.199999991925627e-06
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,4.999999650816238,5.78009315404651,0.7800935032302716,4.989251383679722,4.934271426412972,-0.05497995726674976,9.52459999984967,0.003174866666616557
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,4.999999650816238,5.658246586964256,0.6582469361480179,4.989251383679722,4.3141228774117115,-0.6751285062680106,5.013299999973242,0.0016710999999910807
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,4.999999650816238,4.197402670709462,-0.8025969801067765,4.989251383679722,2.6493609317503104,-2.3398904519294117,1.828700000032768,0.0006095666666775893
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,4.999999650816238,8.969283793181921,3.969284142365683,4.989251383679722,8.747977851157886,3.758726467478164,9.214299999939612,0.003071433333313204
