split,kind,name,group,path
validation,speech,speech_jackson,jackson,dados\demo\clean_refinement\speech_jackson.wav
validation,speech,speech_nicolas,nicolas,dados\demo\clean_refinement\speech_nicolas.wav
validation,speech,speech_theo,theo,dados\demo\clean_refinement\speech_theo.wav
validation,noise,dkitchen_ch01_seg01,DKITCHEN,dados\demo\noise_demand\dkitchen_ch01_seg01.wav
validation,noise,dkitchen_ch01_seg02,DKITCHEN,dados\demo\noise_demand\dkitchen_ch01_seg02.wav
validation,noise,dkitchen_ch01_seg03,DKITCHEN,dados\demo\noise_demand\dkitchen_ch01_seg03.wav
validation,noise,ooffice_ch01_seg01,OOFFICE,dados\demo\noise_demand\ooffice_ch01_seg01.wav
validation,noise,ooffice_ch01_seg02,OOFFICE,dados\demo\noise_demand\ooffice_ch01_seg02.wav
validation,noise,ooffice_ch01_seg03,OOFFICE,dados\demo\noise_demand\ooffice_ch01_seg03.wav
final,speech,speech_george,george,dados\demo\clean_refinement\speech_george.wav
final,speech,speech_lucas,lucas,dados\demo\clean_refinement\speech_lucas.wav
final,speech,speech_yweweler,yweweler,dados\demo\clean_refinement\speech_yweweler.wav
final,noise,pcafeter_ch01_seg01,PCAFETER,dados\demo\noise_demand\pcafeter_ch01_seg01.wav
final,noise,pcafeter_ch01_seg02,PCAFETER,dados\demo\noise_demand\pcafeter_ch01_seg02.wav
final,noise,pcafeter_ch01_seg03,PCAFETER,dados\demo\noise_demand\pcafeter_ch01_seg03.wav
final,noise,straffic_ch01_seg01,STRAFFIC,dados\demo\noise_demand\straffic_ch01_seg01.wav
final,noise,straffic_ch01_seg02,STRAFFIC,dados\demo\noise_demand\straffic_ch01_seg02.wav
final,noise,straffic_ch01_seg03,STRAFFIC,dados\demo\noise_demand\straffic_ch01_seg03.wav
