block_id,write_us,write_interval_ms,source_ring_before_samples,source_ring_after_samples,driver_depth_before,driver_depth_after
0,4.900000,0.000000,7680,6720,0,1
1,1.700000,0.012000,6720,5760,1,2
2,1.200000,20.060500,15360,14400,1,2
3,0.600000,20.021300,15360,14400,1,2
4,0.600000,20.026100,15360,14400,1,2
5,1.800000,20.044300,15360,14400,1,2
6,0.700000,20.044700,15360,14400,1,2
7,2.800000,20.027100,15360,14400,1,2
8,0.500000,20.024000,15360,14400,1,2
9,0.800000,20.020900,15360,14400,1,2
10,1.900000,20.018300,15360,14400,1,2
11,0.500000,20.031900,15360,14400,1,2
12,0.500000,20.021500,15360,14400,1,2
13,0.700000,20.020000,15360,14400,1,2
14,0.700000,20.019300,15360,14400,1,2
15,0.500000,20.051900,15360,14400,1,2
16,0.500000,20.018900,15360,14400,1,2
17,1.100000,20.032800,15360,14400,1,2
18,0.900000,20.021000,15360,14400,1,2
19,0.800000,20.027100,15360,14880,1,2
20,1.000000,20.028000,15360,14400,1,2
21,0.500000,20.034800,15360,14400,1,2
22,0.400000,20.023200,15360,14400,1,2
23,0.700000,20.019700,15360,14400,1,2
24,1.100000,20.023600,15360,14400,1,2
25,0.900000,20.022600,15360,14400,1,2
26,0.800000,20.027900,15360,14400,1,2
27,0.700000,20.033400,15360,14400,1,2
28,1.000000,20.024800,15360,14400,1,2
29,0.600000,20.019700,15360,14400,1,2
30,0.500000,20.019700,15360,14400,1,2
31,0.600000,20.033100,15360,14400,1,2
32,1.900000,20.053000,15360,14400,1,2
33,0.900000,20.025900,15360,14400,1,2
34,0.800000,20.021600,15360,14400,1,2
35,0.800000,20.026300,15360,14400,1,2
36,0.800000,20.022000,15360,14400,1,2
37,0.800000,19.071600,15360,14400,1,2
38,0.900000,20.021200,15360,14400,1,2
39,4.600000,20.026200,15360,14880,1,2
40,0.800000,20.034900,15360,14400,1,2
41,0.800000,20.025500,15360,14400,1,2
42,0.700000,20.019100,15360,14400,1,2
43,1.300000,20.026600,15360,14400,1,2
44,0.400000,20.028100,15360,14400,1,2
45,0.500000,20.035900,15360,14400,1,2
46,0.900000,20.019900,15360,14400,1,2
47,0.800000,20.018800,15360,14400,1,2
48,0.500000,20.021200,15360,14400,1,2
49,0.900000,20.018300,15360,14400,1,2
50,0.900000,20.019100,15360,14400,1,2
51,0.800000,20.020500,15360,14400,1,2
52,0.800000,20.035800,15360,14400,1,2
53,0.800000,20.023900,15360,14400,1,2
54,0.900000,20.021400,15360,14400,1,2
55,0.800000,20.031700,15360,14400,1,2
56,0.600000,20.019500,15360,14400,1,2
57,0.800000,20.020500,15360,14400,1,2
58,0.800000,20.024200,15360,14400,1,2
59,0.800000,20.024300,15360,14400,1,2
60,1.000000,20.019400,15360,14400,1,2
61,0.700000,20.020700,15360,14400,1,2
62,0.500000,20.026800,15360,14400,1,2
63,0.900000,20.019400,15360,14400,1,2
64,0.700000,20.024700,15360,14400,1,2
65,0.500000,20.020700,15360,14400,1,2
66,0.500000,20.019200,15360,14400,1,2
67,0.700000,20.019500,15360,14400,1,2
68,0.800000,20.019500,15360,14400,1,2
69,0.600000,20.021900,15360,14400,1,2
70,0.800000,20.020100,15360,14400,1,2
71,2.900000,20.024400,15360,14400,1,2
72,0.800000,20.022300,15360,14400,1,2
73,0.600000,20.018700,15360,14400,1,2
74,0.900000,20.055700,15360,14400,1,2
75,0.700000,20.021900,15360,14400,1,2
76,1.000000,20.026300,15360,14400,1,2
77,0.600000,19.026800,15360,14400,1,2
78,0.800000,20.026000,15360,14400,1,2
79,0.800000,20.037600,15360,14400,1,2
80,0.800000,20.022500,15360,14400,1,2
81,1.200000,20.019700,15360,14400,1,2
82,0.800000,20.018200,15360,14400,1,2
83,0.400000,20.018300,15360,14400,1,2
84,0.800000,20.041800,15360,14400,1,2
85,0.700000,20.020000,15360,14400,1,2
86,0.700000,20.036400,15360,14400,1,2
87,0.800000,20.024500,15360,14400,1,2
88,0.800000,20.020800,15360,14400,1,2
89,0.800000,20.037100,15360,14400,1,2
90,0.800000,20.024800,15360,14400,1,2
91,0.800000,20.020100,15360,14400,1,2
92,0.800000,20.016600,15360,14400,1,2
93,0.700000,20.018800,15360,14400,1,2
94,1.100000,20.176100,15360,14400,1,2
95,0.800000,20.026700,15360,14400,1,2
96,0.800000,20.063600,15360,14400,1,2
97,0.800000,20.023600,15360,14400,1,2
98,0.800000,20.023600,15360,14400,1,2
99,0.900000,20.020700,15360,14400,1,2
100,1.100000,20.185900,15360,14400,1,2
101,0.900000,20.025800,15360,14400,1,2
102,0.800000,20.019300,15360,14400,1,2
103,0.900000,19.026700,15360,14400,1,2
104,0.900000,20.023400,15360,14400,1,2
105,0.700000,20.020200,15360,14400,1,2
106,3.100000,20.022200,15360,14400,1,2
107,0.800000,20.023500,15360,14400,1,2
108,0.900000,20.022100,15360,14400,1,2
109,1.000000,20.036400,15360,14400,1,2
110,1.000000,20.029600,15360,14400,1,2
111,0.700000,20.021000,15360,14400,1,2
112,1.000000,20.023900,15360,14400,1,2
113,0.800000,20.019000,15360,14400,1,2
114,0.900000,20.021200,15360,14400,1,2
115,0.900000,20.020100,15360,14400,1,2
116,0.500000,20.024100,15360,14400,1,2
117,0.700000,20.023800,15360,14400,1,2
118,0.700000,20.018500,15360,14400,1,2
119,1.100000,20.105500,15360,14400,1,2
120,1.000000,20.018400,15360,14400,1,2
121,0.800000,20.019500,15360,14400,1,2
122,1.100000,20.021600,15360,14400,1,2
123,0.800000,20.018700,15360,14400,1,2
124,0.600000,20.019800,15360,14400,1,2
125,0.400000,20.020300,15360,14400,1,2
126,0.800000,20.016700,15360,14400,1,2
127,0.600000,20.299500,15360,14400,1,2
128,0.800000,20.024300,15360,14400,1,2
129,0.800000,20.020800,15360,14400,1,2
130,0.900000,20.017900,15360,14400,1,2
131,1.000000,20.020400,15360,14400,1,2
132,1.000000,19.167700,15360,14880,1,2
133,0.700000,20.037600,15360,14400,1,2
134,0.900000,20.050600,15360,14400,1,2
135,0.700000,20.023300,15360,14400,1,2
136,0.800000,20.102700,15360,14400,1,2
137,1.200000,20.026600,15360,14400,1,2
138,1.000000,20.038800,15360,14400,1,2
139,0.800000,20.017200,15360,14400,1,2
140,0.600000,20.016900,15360,14400,1,2
141,3.000000,20.029200,15360,14400,1,2
142,1.200000,20.031400,15360,14400,1,2
143,0.500000,20.031800,15360,14400,1,2
144,0.400000,20.025700,15360,14400,1,2
145,1.000000,20.030400,15360,14400,1,2
146,0.900000,20.020900,15360,14400,1,2
147,0.900000,20.021300,15360,14400,1,2
148,0.600000,20.029900,15360,14400,1,2
149,0.900000,20.020800,15360,14400,1,2
150,0.500000,20.019900,15360,14400,1,2
151,1.200000,20.087900,15360,14400,1,2
152,0.800000,20.048800,15360,14400,1,2
153,0.800000,20.025000,15360,14400,1,2
154,1.000000,20.040800,15360,14400,1,2
155,1.000000,19.181500,15360,14400,1,2
156,0.800000,20.252300,15360,14400,1,2
157,0.900000,20.034500,15360,14400,1,2
158,1.100000,20.029900,15360,14400,1,2
159,0.500000,20.035400,15360,14400,1,2
160,1.000000,20.029800,15360,14400,1,2
161,1.100000,20.020000,15360,14400,1,2
162,0.900000,20.019200,15360,14400,1,2
163,0.600000,20.014700,15360,14400,1,2
164,1.100000,20.026200,15360,14400,1,2
165,0.800000,20.032600,15360,14400,1,2
166,0.900000,20.074200,15360,14400,1,2
167,174.700000,20.038400,15360,14880,1,2
168,0.700000,19.351700,15360,14400,1,2
169,0.800000,20.094600,15360,14400,1,2
170,1.000000,20.134100,15360,14400,1,2
171,0.700000,20.048000,15360,14400,1,2
172,1.000000,20.107000,15360,14400,1,2
173,1.000000,20.095400,15360,14400,1,2
174,0.800000,20.045500,15360,14400,1,2
175,0.800000,20.026100,15360,14400,1,2
176,0.800000,20.016700,15360,14400,1,2
177,1.000000,20.122700,15360,14400,1,2
178,1.000000,20.026300,15360,14400,1,2
179,0.900000,20.031400,15360,14400,1,2
180,0.800000,20.080300,15360,14400,1,2
181,0.700000,20.106500,15360,14400,1,2
182,0.900000,19.022800,15360,14400,1,2
183,1.100000,20.030000,15360,14400,1,2
184,0.800000,20.023900,15360,14400,1,2
185,0.700000,20.022000,15360,14400,1,2
186,0.700000,20.060700,15360,14400,1,2
187,0.600000,20.018500,15360,14400,1,2
188,0.500000,20.016900,15360,14400,1,2
189,1.000000,20.023800,15360,14400,1,2
190,0.900000,20.020800,15360,14400,1,2
191,0.900000,20.052400,15360,14880,1,2
192,1.200000,20.039100,15360,14400,1,2
193,0.800000,20.035600,15360,14400,1,2
194,0.800000,20.021600,15360,14400,1,2
195,1.100000,20.027200,15360,14400,1,2
196,1.300000,20.029300,15360,14400,1,2
197,0.800000,20.111200,15360,14400,1,2
198,1.200000,20.040500,15360,14400,1,2
199,0.800000,20.116600,15360,14400,1,2
200,0.900000,20.032700,15360,14400,1,2
201,1.100000,20.028100,15360,14400,1,2
202,1.200000,20.125500,15360,14400,1,2
203,1.100000,20.040000,15360,14400,1,2
204,0.800000,20.049000,15360,14400,1,2
205,0.800000,19.057600,15360,14400,1,2
206,0.900000,20.074000,15360,14400,1,2
207,0.800000,20.090100,15360,14400,1,2
208,0.900000,20.021200,15360,14400,1,2
209,1.200000,20.172100,15360,14880,1,2
210,1.000000,20.030500,15360,14400,1,2
211,0.800000,20.024100,15360,14400,1,2
212,0.800000,20.061100,15360,14400,1,2
213,0.400000,20.034600,15360,14400,1,2
214,0.500000,20.104400,15360,14400,1,2
215,0.800000,20.091300,15360,14400,1,2
216,0.900000,20.083000,15360,14400,1,2
217,1.000000,20.063500,15360,14400,1,2
218,1.000000,20.030300,15360,14400,1,2
219,0.700000,19.169500,15360,14880,1,2
220,1.200000,20.130400,15360,14400,1,2
221,0.800000,20.028700,15360,14400,1,2
222,0.700000,20.099200,15360,14400,1,2
223,0.800000,20.018500,15360,14400,1,2
224,0.900000,20.032900,15360,14400,1,2
225,1.100000,20.030900,15360,14400,1,2
226,0.800000,20.025400,15360,14400,1,2
227,0.900000,20.031700,15360,14400,1,2
228,0.700000,20.030600,15360,14400,1,2
229,0.900000,20.042400,15360,14400,1,2
230,0.900000,20.023300,15360,14400,1,2
231,0.900000,20.028000,15360,14400,1,2
232,0.800000,20.151000,15360,14400,1,2
233,0.800000,20.027300,15360,14400,1,2
234,1.300000,20.023400,15360,14400,1,2
235,1.000000,20.029100,15360,14400,1,2
236,0.600000,20.020900,15360,14400,1,2
237,0.900000,20.039600,15360,14400,1,2
238,0.500000,20.071400,15360,14400,1,2
239,0.900000,19.144400,15360,14400,1,2
240,1.000000,20.026300,15360,14400,1,2
241,1.000000,20.029700,15360,14880,1,2
242,0.900000,20.059200,15360,14400,1,2
243,0.600000,20.047000,15360,14400,1,2
244,0.600000,20.029700,15360,14400,1,2
245,0.900000,20.025500,15360,14400,1,2
246,0.800000,20.028200,15360,14400,1,2
247,1.100000,20.029700,15360,14400,1,2
248,0.700000,20.074900,15360,14400,1,2
249,0.600000,20.041200,15360,14400,1,2
250,0.800000,20.025300,15360,14400,1,2
251,1.100000,20.024200,15360,14400,1,2
252,0.800000,20.053000,15360,14400,1,2
253,0.500000,20.046500,15360,14400,1,2
254,1.100000,20.172600,15360,14400,1,2
255,1.200000,20.028600,15360,14880,1,2
256,0.900000,20.054100,15360,14400,1,2
257,0.900000,19.089000,15360,14400,1,2
258,0.800000,20.018000,15360,14400,1,2
259,0.600000,20.017000,15360,14400,1,2
260,0.900000,20.092700,15360,14400,1,2
261,0.700000,20.016900,15360,14400,1,2
262,0.700000,20.054000,15360,14400,1,2
263,0.700000,20.017000,15360,14400,1,2
264,0.700000,20.037600,15360,14400,1,2
265,0.600000,20.017000,15360,14400,1,2
266,0.800000,20.126500,15360,14400,1,2
267,1.000000,20.138300,15360,14400,1,2
268,0.900000,20.019900,15360,14400,1,2
269,0.700000,20.032800,15360,14400,1,2
270,1.100000,20.025200,15360,14400,1,2
271,0.700000,20.021200,15360,14400,1,2
272,0.800000,20.017900,15360,14400,1,2
273,0.900000,20.023500,15360,14400,1,2
274,0.800000,20.153000,15360,14400,1,2
275,0.800000,19.166200,15360,14400,1,2
276,0.700000,20.014000,15360,14400,1,2
277,0.600000,20.102200,15360,14400,1,2
278,0.600000,20.017400,15360,14400,1,2
279,0.800000,20.061200,15360,14400,1,2
280,0.800000,20.016000,15360,14400,1,2
281,1.100000,20.033500,15360,14400,1,2
282,0.900000,20.020300,15360,14400,1,2
283,0.700000,20.024400,15360,14400,1,2
284,0.900000,20.015300,15360,14400,1,2
285,0.800000,20.018500,15360,14400,1,2
286,1.100000,20.021200,15360,14400,1,2
287,0.700000,20.017200,15360,14400,1,2
288,0.900000,20.093100,15360,14400,1,2
289,0.600000,20.021700,15360,14400,1,2
290,0.900000,20.051600,15360,14400,1,2
291,0.900000,20.122100,15360,14400,1,2
292,0.500000,20.027500,15360,14400,1,2
293,0.700000,20.077200,15360,14400,1,2
294,1.000000,20.028800,15360,14400,1,2
295,1.000000,20.061800,15360,14400,1,2
296,1.100000,20.038400,15360,14400,1,2
297,0.900000,20.018700,15360,14400,1,2
298,0.500000,20.034500,15360,14400,1,2
299,0.700000,19.119800,15360,14400,1,2
300,0.700000,20.088800,15360,14400,1,2
301,1.000000,20.130500,15360,14400,1,2
302,0.800000,20.059900,15360,14400,1,2
303,0.800000,20.187600,15360,14400,1,2
304,0.500000,20.047600,15360,14400,1,2
305,0.900000,20.052800,15360,14400,1,2
306,1.100000,20.027000,15360,14400,1,2
307,0.900000,20.035300,15360,14400,1,2
308,1.200000,20.028100,15360,14400,1,2
309,0.800000,20.016900,15360,14400,1,2
310,0.800000,20.021200,15360,14400,1,2
311,1.000000,20.019200,15360,14400,1,2
312,1.100000,20.025000,15360,14400,1,2
313,0.700000,20.024700,15360,14400,1,2
314,1.000000,20.028500,15360,14400,1,2
315,0.600000,20.019500,15360,14400,1,2
316,1.100000,20.041500,15360,14880,1,2
317,1.000000,20.027900,15360,14400,1,2
318,0.300000,20.020300,15360,14400,1,2
319,0.600000,19.136400,15360,14400,1,2
320,1.100000,20.024000,15360,14400,1,2
321,0.900000,20.097300,15360,14400,1,2
322,0.800000,20.047900,15360,14400,1,2
323,0.900000,20.027800,15360,14400,1,2
324,1.300000,20.036100,15360,14880,1,2
325,1.000000,20.092900,15360,14880,1,2
326,1.000000,20.062900,15360,14400,1,2
327,0.800000,20.060000,15360,14400,1,2
328,1.500000,20.067000,15360,14400,1,2
329,0.900000,20.078600,15360,14880,1,2
330,1.000000,20.028000,15360,14400,1,2
331,1.100000,20.201500,15360,14400,1,2
332,0.700000,20.023600,15360,14400,1,2
333,0.800000,20.044100,15360,14400,1,2
334,0.800000,19.021600,15360,14400,1,2
335,0.900000,20.099500,15360,14400,1,2
336,0.800000,20.017100,15360,14400,1,2
337,1.000000,20.020900,15360,14400,1,2
338,1.000000,20.027100,15360,14400,1,2
339,1.200000,20.023000,15360,14400,1,2
340,0.600000,20.034700,15360,14400,1,2
341,0.800000,20.017900,15360,14400,1,2
342,0.800000,20.015900,15360,14400,1,2
343,0.700000,20.016400,15360,14400,1,2
344,0.700000,20.017500,15360,14400,1,2
345,0.700000,20.020800,15360,14400,1,2
346,0.800000,20.016600,15360,14400,1,2
347,0.800000,20.149900,15360,14400,1,2
348,0.800000,20.021400,15360,14400,1,2
349,0.700000,20.043900,15360,14400,1,2
350,1.000000,20.126500,15360,14400,1,2
351,1.100000,20.024700,15360,14880,1,2
352,0.700000,20.020400,15360,14400,1,2
353,0.600000,20.018200,15360,14400,1,2
354,0.900000,20.177600,15360,14400,1,2
355,0.800000,20.031000,15360,14400,1,2
356,6.000000,19.080800,15360,14400,1,2
357,0.900000,20.158400,15360,14400,1,2
358,0.800000,20.095400,15360,14400,1,2
359,0.700000,20.019300,15360,14400,1,2
360,0.700000,20.061000,15360,14400,1,2
361,0.900000,20.030200,15360,14400,1,2
362,0.600000,20.020000,15360,14400,1,2
363,0.800000,20.026800,15360,14400,1,2
364,0.800000,20.027000,15360,14400,1,2
365,0.900000,20.064300,15360,14400,1,2
366,0.800000,20.033000,15360,14400,1,2
367,0.700000,20.019600,15360,14400,1,2
368,0.700000,20.096600,15360,14400,1,2
369,0.800000,20.018000,15360,14400,1,2
370,0.700000,20.019400,15360,14400,1,2
371,0.800000,20.031800,15360,14400,1,2
372,0.700000,20.017500,15360,14400,1,2
373,0.800000,20.030300,15360,14400,1,2
374,0.700000,20.039100,15360,14400,1,2
375,0.700000,20.030000,15360,14400,1,2
376,0.800000,20.016900,15360,14400,1,2
377,1.000000,20.031700,15360,14400,1,2
378,0.900000,20.042400,15360,14400,1,2
379,0.900000,19.182200,15360,14400,1,2
380,0.800000,20.035100,15360,14400,1,2
381,0.800000,20.078400,15360,14400,1,2
382,0.800000,20.047200,15360,14400,1,2
383,14.700000,20.031400,15360,14400,1,2
384,0.700000,20.034200,15360,14400,1,2
385,1.100000,20.023000,15360,14400,1,2
386,0.900000,20.037700,15360,14400,1,2
387,1.000000,20.024300,15360,14400,1,2
388,0.700000,20.020300,15360,14400,1,2
