frame_id,proc_us,push_wait_us,ring_after_samples
0,649.100000,7.800000,480
1,380.000000,5.500000,960
2,301.800000,7.000000,1440
3,283.600000,4.400000,1920
4,278.400000,7.500000,2400
5,280.300000,4.100000,2880
6,279.400000,4.400000,3360
7,277.100000,4.100000,3840
8,278.000000,5.400000,4320
9,285.700000,3.500000,4800
10,277.000000,3.900000,5280
11,275.200000,3.200000,5760
12,274.200000,3.900000,6240
13,282.500000,3.300000,6720
14,282.100000,4.400000,7200
15,307.700000,3.300000,7680
16,291.500000,3.600000,6240
17,283.100000,1.400000,6720
18,280.900000,1.100000,7200
19,283.000000,1.200000,7680
20,290.700000,1.200000,8160
21,291.300000,6.000000,8640
22,298.900000,5.900000,9120
23,324.200000,5.500000,9600
24,367.300000,5.100000,10080
25,370.700000,6.500000,10560
26,383.900000,6.300000,11040
27,330.200000,3.900000,11520
28,306.300000,3.900000,12000
29,294.200000,4.300000,12480
30,291.900000,3.400000,12960
31,293.700000,5.300000,13440
32,308.700000,3.900000,13920
33,308.300000,4.000000,14400
34,322.200000,3.900000,14880
35,309.200000,5.400000,15360
36,328.600000,13611.000000,14880
37,545.400000,4.500000,15360
38,392.900000,19087.700000,14880
39,531.400000,1.300000,15360
40,348.400000,19172.200000,14880
41,550.400000,1.300000,15360
42,388.200000,19058.600000,14880
43,665.100000,1.500000,15360
44,393.100000,19035.200000,14880
45,504.300000,1.300000,15360
46,381.100000,19127.400000,14880
47,559.600000,1.700000,15360
48,379.800000,19079.100000,14880
49,528.800000,1.400000,15360
50,403.400000,19053.500000,14880
51,549.300000,1.500000,15360
52,362.600000,19098.700000,14880
53,527.600000,1.600000,15360
54,364.500000,19137.200000,14880
55,576.300000,1.700000,15360
56,422.500000,19032.700000,14880
57,570.300000,1.500000,15360
58,373.300000,19100.000000,14880
59,497.800000,1.300000,15360
60,340.300000,19174.500000,14880
61,528.300000,1.400000,15360
62,357.400000,19126.600000,14880
63,596.700000,1.700000,15360
64,412.500000,19005.400000,14880
65,509.400000,5.700000,15360
66,360.800000,19281.900000,14880
67,613.900000,1.600000,15360
68,494.700000,18822.000000,14880
69,585.900000,1.500000,15360
70,388.900000,19009.700000,14880
71,555.300000,1.400000,15360
72,391.900000,19077.100000,14880
73,492.400000,1.300000,15360
74,332.800000,19210.900000,14880
75,538.500000,1.200000,15360
76,381.600000,19096.600000,14880
77,532.700000,1.500000,15360
78,371.000000,19113.600000,14880
79,533.600000,1.400000,15360
80,345.300000,19142.200000,14880
81,638.600000,1.500000,15360
82,400.300000,18980.700000,14880
83,547.200000,1.500000,15360
84,359.700000,19155.500000,14880
85,584.100000,1.900000,15360
86,439.100000,19007.200000,14880
87,575.500000,1.300000,15360
88,367.300000,19079.500000,14880
89,610.500000,2.200000,15360
90,413.200000,18966.000000,14880
91,545.800000,1.200000,15360
92,372.300000,19086.000000,14880
93,566.300000,1.500000,15360
94,367.700000,19102.900000,14880
95,620.200000,1.400000,15360
96,421.000000,19041.900000,14880
97,543.600000,1.500000,15360
98,361.000000,19077.700000,14880
99,570.700000,1.300000,15360
100,371.000000,19078.400000,14880
101,627.700000,1.700000,15360
102,398.100000,18997.500000,14880
103,546.200000,1.400000,15360
104,375.900000,19099.900000,14880
105,603.500000,1.600000,15360
106,433.600000,18066.500000,14880
107,574.700000,1.600000,15360
108,384.800000,19059.700000,14880
109,615.000000,1.800000,15360
110,425.200000,18946.000000,14880
111,616.200000,1.700000,15360
112,381.800000,19030.400000,14880
113,574.000000,1.700000,15360
114,434.600000,19011.400000,14880
115,552.900000,1.400000,15360
116,579.000000,18922.100000,14880
117,496.100000,1.200000,15360
118,339.600000,19189.700000,14880
119,562.400000,1.700000,15360
120,382.200000,19040.300000,14880
121,490.000000,1.400000,15360
122,342.600000,19243.000000,14880
123,642.200000,2.200000,15360
124,458.100000,18907.100000,14880
125,609.000000,1.600000,15360
126,414.000000,18990.600000,14880
127,491.700000,1.400000,15360
128,352.600000,19172.100000,14880
129,546.900000,1.600000,15360
130,361.300000,19065.700000,14880
131,533.700000,1.300000,15360
132,354.700000,19165.000000,14880
133,576.600000,1.500000,15360
134,374.900000,19028.400000,14880
135,539.600000,1.600000,15360
136,377.500000,19115.800000,14880
137,558.900000,1.600000,15360
138,356.500000,19142.100000,14880
139,567.900000,1.500000,15360
140,375.800000,19039.600000,14880
141,570.500000,1.600000,15360
142,374.300000,19083.800000,14880
143,579.500000,1.700000,15360
144,421.500000,19128.800000,14880
145,538.800000,1.400000,15360
146,355.300000,19010.800000,14880
147,565.900000,1.400000,15360
148,413.300000,19041.400000,14880
149,584.800000,1.300000,15360
150,370.000000,19106.800000,14880
151,588.200000,1.600000,15360
152,449.700000,18977.000000,14880
153,531.300000,1.700000,15360
154,330.000000,19154.700000,14880
155,566.700000,1.500000,15360
156,379.900000,19037.000000,14880
157,562.100000,1.600000,15360
158,365.100000,19136.600000,14880
159,541.900000,1.500000,15360
160,368.700000,19105.100000,14880
161,593.900000,1.500000,15360
162,373.100000,19010.400000,14880
163,568.400000,2.000000,15360
164,416.900000,19056.500000,14880
165,561.700000,1.500000,15360
166,352.800000,19075.900000,14880
167,529.000000,1.300000,15360
168,373.100000,19159.300000,14880
169,543.200000,1.600000,15360
170,382.400000,19089.400000,14880
171,675.200000,1.700000,15360
172,377.500000,18924.300000,14880
173,619.100000,1.400000,15360
174,386.000000,19015.100000,14880
175,622.900000,2.000000,15360
176,425.400000,19013.900000,14880
177,559.200000,1.800000,15360
178,390.800000,19022.900000,14880
179,550.100000,1.400000,15360
180,351.000000,19189.600000,14880
181,588.400000,1.900000,15360
182,398.000000,19030.000000,14880
183,498.600000,1.500000,15360
184,353.400000,19159.200000,14880
185,1241.000000,2.000000,15360
186,484.800000,17269.700000,14880
187,657.200000,2.200000,15360
188,529.800000,18837.000000,14880
189,559.500000,1.700000,15360
190,371.400000,19143.200000,14880
191,595.600000,1.600000,15360
192,457.100000,18967.600000,14880
193,552.000000,1.500000,15360
194,375.000000,19047.700000,14880
195,484.000000,1.300000,15360
196,329.600000,19267.600000,14880
197,570.700000,1.500000,15360
198,356.500000,19022.400000,14880
199,509.500000,1.300000,15360
200,326.200000,19206.500000,14880
201,630.800000,1.500000,15360
202,401.200000,19021.600000,14880
203,496.000000,1.300000,15360
204,333.700000,19275.400000,14880
205,565.900000,1.500000,15360
206,387.000000,18958.200000,14880
207,592.200000,1.300000,15360
208,376.100000,19050.800000,14880
209,508.500000,1.600000,15360
210,359.600000,19166.100000,14880
211,580.000000,1.600000,15360
212,394.600000,19048.600000,14880
213,589.300000,1.800000,15360
214,371.100000,19054.300000,14880
215,607.400000,1.800000,15360
216,419.000000,18985.200000,14880
217,562.000000,1.300000,15360
218,369.600000,19084.600000,14880
219,585.600000,1.600000,15360
220,397.700000,19191.600000,14880
221,581.800000,1.600000,15360
222,413.400000,19027.800000,14880
223,555.200000,1.500000,15360
224,383.000000,19120.700000,14880
225,618.200000,1.500000,15360
226,413.000000,18990.100000,14880
227,585.100000,1.600000,15360
228,386.300000,19048.100000,14880
229,600.100000,1.500000,15360
230,412.400000,19052.600000,14880
231,564.200000,1.700000,15360
232,372.200000,19193.900000,14880
233,580.100000,1.500000,15360
234,396.600000,19053.400000,14880
235,597.300000,1.500000,15360
236,421.800000,18991.800000,14880
237,532.500000,1.300000,15360
238,367.300000,18126.200000,14880
239,609.400000,1.900000,15360
240,433.100000,18975.400000,14880
241,621.400000,1.400000,15360
242,419.000000,19017.900000,14880
243,514.700000,1.400000,15360
244,344.000000,19158.400000,14880
245,560.900000,1.400000,15360
246,392.700000,19027.200000,14880
247,610.200000,1.500000,15360
248,386.600000,19062.700000,14880
249,564.400000,1.400000,15360
250,370.700000,19110.800000,14880
251,619.200000,1.700000,15360
252,405.500000,18946.300000,14880
253,547.000000,1.800000,15360
254,391.900000,19130.900000,14880
255,580.800000,1.400000,15360
256,426.000000,19011.000000,14880
257,589.900000,1.300000,15360
258,365.800000,19049.500000,14880
259,544.000000,2.200000,15360
260,374.300000,19058.200000,14880
261,545.900000,1.600000,15360
262,364.300000,19171.700000,14880
263,561.100000,1.200000,15360
264,342.700000,19093.700000,14880
265,515.200000,1.400000,15360
266,377.000000,19131.100000,14880
267,509.500000,1.600000,15360
268,364.600000,19151.500000,14880
269,498.700000,1.300000,15360
270,350.800000,19235.500000,14880
271,610.300000,1.500000,15360
272,385.000000,19026.100000,14880
273,504.700000,1.400000,15360
274,344.700000,19154.500000,14880
275,588.100000,1.900000,15360
276,392.100000,19050.000000,14880
277,575.200000,1.300000,15360
278,363.500000,19123.800000,14880
279,506.000000,1.300000,15360
280,343.900000,19115.800000,14880
281,541.300000,1.400000,15360
282,382.900000,19099.600000,14880
283,499.500000,1.300000,15360
284,366.700000,19218.400000,14880
285,11785.600000,1.900000,15360
286,1149.200000,7287.200000,14880
287,1331.300000,1.500000,15360
288,1159.100000,17532.200000,14880
289,1308.700000,1.400000,15360
290,1252.000000,17417.800000,14880
291,1415.300000,1.600000,15360
292,1141.600000,17567.600000,14880
293,1480.400000,1.500000,15360
294,1259.900000,17258.900000,14880
295,1604.900000,1.800000,15360
296,1525.900000,15946.700000,14880
297,2230.600000,2.000000,15360
298,1198.900000,16633.400000,14880
299,1290.500000,1.600000,15360
300,1113.100000,17605.800000,14880
301,1657.400000,1.800000,15360
302,1423.600000,16989.500000,14880
303,1442.900000,1.800000,15360
304,1228.900000,17388.900000,14880
305,2102.700000,2.100000,15360
306,1260.100000,16696.900000,14880
307,2574.400000,2.600000,15360
308,1763.300000,15684.800000,14880
309,2634.100000,2.000000,15360
310,1293.900000,16087.800000,14880
311,2744.100000,2.900000,15360
312,2237.000000,15017.000000,14880
313,1259.100000,1.300000,15360
314,1065.100000,17736.900000,14880
315,1940.500000,2.300000,15360
316,1415.300000,16652.200000,14880
317,1468.500000,1.700000,15360
318,1235.400000,17339.200000,14880
319,2765.000000,2.500000,15360
320,1703.000000,15544.600000,14880
321,631.200000,1.500000,15360
322,575.900000,18767.400000,14880
323,763.000000,1.800000,15360
324,400.700000,18854.900000,14880
325,972.600000,1.800000,15360
326,408.600000,18653.000000,14880
327,716.400000,1.700000,15360
328,357.800000,18940.000000,14880
329,847.400000,2.400000,15360
330,422.100000,18779.400000,14880
331,582.600000,1.500000,15360
332,358.800000,19039.300000,14880
333,805.200000,2.100000,15360
334,400.500000,18874.600000,14880
335,630.300000,1.500000,15360
336,383.000000,19039.600000,14880
337,895.000000,10.000000,15360
338,429.300000,18942.700000,14880
339,602.000000,1.400000,15360
340,351.800000,18858.100000,14880
341,545.400000,1.500000,15360
342,379.200000,18253.500000,14880
343,531.300000,1.500000,15360
344,316.200000,19379.300000,14880
345,1000.000000,2.500000,15360
346,476.200000,18540.400000,14880
347,785.600000,2.200000,15360
348,456.000000,18827.200000,14880
349,651.800000,1.600000,15360
350,360.100000,18981.800000,14880
351,790.500000,2.200000,15360
352,534.200000,18703.900000,14880
353,557.900000,1.600000,15360
354,376.500000,19074.500000,14880
355,670.300000,2.000000,15360
356,451.100000,18908.300000,14880
357,1001.700000,1.500000,15360
358,454.000000,18583.200000,14880
359,753.700000,2.300000,15360
360,360.800000,18981.000000,14880
361,575.800000,1.600000,15360
362,363.700000,18973.600000,14880
363,847.300000,1.400000,15360
364,330.700000,18980.000000,14880
365,887.300000,2.300000,15360
366,447.100000,18614.800000,14880
367,620.900000,1.600000,15360
368,429.700000,18299.400000,14880
369,816.700000,2.200000,15360
370,421.500000,18849.300000,14880
371,595.600000,1.600000,15360
372,372.200000,19161.400000,14880
373,844.300000,2.200000,15360
374,415.800000,18787.500000,14880
375,983.000000,2.400000,15360
376,624.300000,18535.800000,14880
377,538.800000,1.300000,15360
378,336.500000,19191.500000,14880
379,798.900000,1.800000,15360
380,336.500000,18885.000000,14880
381,576.900000,1.800000,15360
382,388.100000,19091.500000,14880
383,743.600000,1.900000,15360
384,392.500000,18898.400000,14880
385,619.500000,1.500000,15360
386,404.100000,19041.200000,14880
387,2144.500000,2.400000,15360
388,1653.600000,16223.000000,14880
389,1574.500000,1.700000,15360
390,1376.300000,17077.700000,14880
391,1896.800000,2.600000,15360
392,1584.200000,16596.900000,14880
393,2782.100000,4.500000,15360
394,3154.800000,14154.600000,14880
395,1465.400000,1.600000,15360
396,1470.500000,16092.200000,14880
397,1371.300000,1.500000,15360
398,1171.500000,17564.600000,14880
399,2955.700000,3.000000,15360
400,1842.700000,15137.400000,14880
401,2653.000000,3.000000,15360
402,1383.600000,16038.100000,14880
403,2696.700000,2.600000,15360
404,2477.600000,14820.000000,14880
405,2449.900000,2.100000,15360
406,1487.500000,16074.400000,14880
407,1437.300000,1.400000,15360
408,1317.300000,17270.800000,14880
409,2648.100000,3.100000,15360
410,2534.400000,14829.700000,14880
411,2444.400000,3.000000,15360
412,1621.900000,16011.300000,14880
413,1872.700000,2.500000,15360
414,1445.700000,16653.000000,14880
415,1470.000000,1.700000,15360
416,2179.400000,16396.400000,14880
417,1821.000000,1.900000,15360
418,1410.200000,16794.600000,14880
419,1526.900000,1.800000,15360
420,1531.200000,16966.800000,14880
421,2434.100000,2.600000,15360
422,1809.100000,15813.600000,14880
423,1293.400000,1.500000,15360
424,1110.500000,17605.400000,14880
425,2194.000000,2.500000,15360
426,1589.200000,16323.100000,14880
427,2587.000000,1.600000,15360
428,1097.300000,16337.300000,14880
429,2546.000000,2.400000,15360
430,2393.000000,15168.000000,14880
431,2454.600000,2.500000,15360
432,1353.300000,16215.900000,14880
433,2518.000000,2.300000,15360
434,1448.700000,16061.500000,14880
435,2741.900000,2.700000,15360
436,2142.100000,15236.600000,14880
437,2673.800000,2.400000,15360
438,1725.200000,15666.900000,14880
439,2149.500000,1.500000,15360
440,1047.400000,16814.700000,14880
441,1924.000000,1.500000,15360
442,1273.300000,15867.200000,14880
443,1719.100000,2.200000,15360
444,1524.200000,16814.300000,14880
445,2767.900000,2.600000,15360
446,2166.100000,15148.400000,14880
447,1598.300000,1.700000,15360
448,1161.200000,17271.500000,14880
