block_id,write_us,write_interval_ms,source_ring_before_samples,source_ring_after_samples,driver_depth_before,driver_depth_after
0,6.600000,0.000000,7680,6720,0,1
1,2.100000,0.015800,6720,5760,1,2
2,1.300000,20.019000,15360,14400,1,2
3,0.600000,20.020900,15360,14400,1,2
4,0.500000,20.020600,15360,14400,1,2
5,1.600000,20.106800,15360,14400,1,2
6,0.600000,20.026300,15360,14400,1,2
7,1.900000,20.026800,15360,14400,1,2
8,0.500000,20.020600,15360,14400,1,2
9,0.500000,20.023600,15360,14400,1,2
10,2.000000,20.077000,15360,14400,1,2
11,0.600000,20.022500,15360,14400,1,2
12,0.600000,20.019700,15360,14400,1,2
13,0.700000,20.020600,15360,14400,1,2
14,0.800000,20.018700,15360,14400,1,2
15,0.500000,20.023400,15360,14400,1,2
16,0.600000,20.084200,15360,14400,1,2
17,0.700000,20.018600,15360,14400,1,2
18,0.800000,20.034300,15360,14400,1,2
19,0.800000,20.022000,15360,14400,1,2
20,1.000000,20.024500,15360,14400,1,2
21,0.500000,20.032800,15360,14400,1,2
22,0.500000,20.079500,15360,14400,1,2
23,0.600000,20.020100,15360,14400,1,2
24,0.600000,20.092200,15360,14400,1,2
25,0.500000,20.019100,15360,14400,1,2
26,0.900000,20.039700,15360,14400,1,2
27,0.900000,20.040400,15360,14400,1,2
28,0.800000,20.016700,15360,14400,1,2
29,0.700000,20.020900,15360,14400,1,2
30,0.600000,20.019000,15360,14400,1,2
31,0.500000,19.027900,15360,14400,1,2
32,4.300000,20.039500,15360,14880,1,2
33,0.700000,20.026400,15360,14400,1,2
34,0.700000,20.017400,15360,14400,1,2
35,0.800000,20.019700,15360,14400,1,2
36,1.000000,20.022100,15360,14400,1,2
37,1.000000,20.023800,15360,14400,1,2
38,0.800000,20.040700,15360,14400,1,2
39,0.800000,20.030900,15360,14400,1,2
40,0.900000,20.016800,15360,14400,1,2
41,0.900000,20.020900,15360,14400,1,2
42,0.700000,20.034300,15360,14400,1,2
43,0.800000,20.018100,15360,14400,1,2
44,0.500000,20.051700,15360,14400,1,2
45,0.400000,20.027000,15360,14400,1,2
46,0.700000,20.017200,15360,14400,1,2
47,0.700000,20.141400,15360,14400,1,2
48,0.400000,20.020700,15360,14400,1,2
49,1.000000,20.019600,15360,14400,1,2
50,0.600000,20.019600,15360,14400,1,2
51,1.000000,20.162200,15360,14400,1,2
52,0.900000,20.032900,15360,14400,1,2
53,0.800000,20.017500,15360,14400,1,2
54,0.800000,20.024200,15360,14400,1,2
55,0.800000,20.018900,15360,14400,1,2
56,1.300000,20.060400,15360,14400,1,2
57,0.700000,20.031800,15360,14400,1,2
58,0.600000,19.022000,15360,14400,1,2
59,0.700000,20.027300,15360,14400,1,2
60,0.700000,20.022800,15360,14400,1,2
61,0.800000,20.160800,15360,14400,1,2
62,0.800000,20.018400,15360,14400,1,2
63,1.000000,20.049100,15360,14400,1,2
64,0.800000,20.030000,15360,14400,1,2
65,0.800000,20.020100,15360,14400,1,2
66,0.400000,20.021300,15360,14400,1,2
67,0.700000,20.020900,15360,14400,1,2
68,0.800000,20.033300,15360,14400,1,2
69,0.800000,20.018200,15360,14400,1,2
70,0.800000,20.027400,15360,14400,1,2
71,4.300000,20.025600,15360,14400,1,2
72,0.800000,20.059700,15360,14400,1,2
73,1.100000,20.020800,15360,14400,1,2
74,0.700000,20.034500,15360,14400,1,2
75,0.800000,20.017300,15360,14400,1,2
76,0.900000,20.021500,15360,14400,1,2
77,0.600000,20.027600,15360,14400,1,2
78,0.900000,20.055900,15360,14400,1,2
79,0.700000,20.018400,15360,14400,1,2
80,0.900000,20.020400,15360,14400,1,2
81,1.000000,20.040900,15360,14400,1,2
82,0.900000,20.019800,15360,14400,1,2
83,0.800000,20.018500,15360,14400,1,2
84,0.900000,20.068900,15360,14400,1,2
85,0.900000,20.026300,15360,14400,1,2
86,1.600000,20.070600,15360,14400,1,2
87,1.100000,19.030200,15360,14400,1,2
88,0.800000,20.026200,15360,14400,1,2
89,0.700000,20.019400,15360,14400,1,2
90,0.700000,20.021000,15360,14400,1,2
91,0.900000,20.018700,15360,14400,1,2
92,0.800000,20.031400,15360,14400,1,2
93,0.900000,20.030400,15360,14400,1,2
94,0.800000,20.044100,15360,14400,1,2
95,1.200000,20.023600,15360,14400,1,2
96,0.500000,20.034900,15360,14400,1,2
97,0.600000,20.022400,15360,14400,1,2
98,0.800000,20.020400,15360,14400,1,2
99,0.900000,20.021700,15360,14400,1,2
100,0.700000,20.019900,15360,14400,1,2
101,0.900000,20.018400,15360,14400,1,2
102,0.600000,20.018300,15360,14400,1,2
103,0.700000,20.023000,15360,14400,1,2
104,0.800000,20.019800,15360,14400,1,2
105,0.800000,20.020000,15360,14400,1,2
106,5.300000,20.032200,15360,14880,1,2
107,1.100000,20.025700,15360,14400,1,2
108,0.900000,20.018300,15360,14400,1,2
109,0.900000,20.125200,15360,14400,1,2
110,1.100000,20.023300,15360,14400,1,2
111,0.800000,20.037500,15360,14400,1,2
112,0.800000,20.020500,15360,14400,1,2
113,0.800000,20.019800,15360,14400,1,2
114,0.700000,20.019200,15360,14400,1,2
115,1.200000,20.017800,15360,14400,1,2
116,1.300000,20.027500,15360,14400,1,2
