block_index,target_elapsed_ms,submit_elapsed_ms,submit_call_ms
0,0.0,0.005199995939619839,0.03529999958118424
1,20.0,20.000699994852766,0.060200000007171184
2,40.0,40.0006999989273,0.03789999755099416
3,60.0,60.00089999724878,0.03970000398112461
4,80.0,80.0011999963317,0.043000000005122274
5,100.0,100.36459999537328,0.06160000339150429
6,120.0,120.00149999948917,0.04489999992074445
7,140.0,140.0013999955263,0.20200000290060416
8,160.0,160.00079999503214,0.037500001781154424
9,180.0,180.00059999758378,0.040400002035312355
10,200.0,201.06179999856977,0.0470000013592653
11,220.0,220.0010000015027,0.04119999357499182
12,240.0,240.00069999601692,0.03809999907389283
13,260.0,260.00049999856856,0.040899998566601425
14,280.0,280.0005999961286,0.03980000474257395
15,300.0,300.00119999749586,0.03960000321967527
16,320.0,320.00069999776315,0.03730000025825575
17,340.0,340.00060000107624,0.04020000051241368
18,360.0,360.00090000015916,0.04269999772077426
19,380.0,380.0005000011879,0.03669999568955973
20,400.0,400.00509999663336,0.04479999915929511
21,420.0,420.00049999478506,0.03670000296551734
22,440.0,440.0007000003825,0.03789999755099416
23,460.0,460.0004999956582,0.03930000093532726
24,480.0,480.00060000049416,0.1973999969777651
25,500.0,500.04769999941345,0.04310000076657161
26,520.0,520.0005000006058,0.03659999492811039
27,540.0,540.0005999981659,0.036600002204068005
28,560.0,560.0007999964873,0.039200000173877925
29,580.0,580.0009000013233,0.037999998312443495
30,600.0,600.095900001179,0.042100000428035855
31,620.0,620.185699997819,0.051399998483248055
32,640.0,640.0004999959492,0.03819999983534217
33,660.0,660.0008999957936,0.04579999949783087
34,680.0,680.0063999980921,0.039500002458225936
35,700.0,700.0094999966677,0.04170000465819612
36,720.0,720.0005999984569,0.03460000152699649
37,740.0,740.0008999975398,0.038300000596791506
38,760.0,760.0007000000915,0.04220000118948519
39,780.0,780.0007999976515,0.04060000355821103
40,800.0,801.1824999994133,0.03909999941242859
41,820.0,820.2136999971117,0.03809999907389283
42,840.0,840.0006999945617,0.04100000660400838
43,860.0,860.0007999993977,0.03959999594371766
44,880.0,880.0006999954348,0.041200000850949436
45,900.0,900.0006999995094,0.03879999712808058
46,920.0,920.000699996308,0.04510000144364312
47,940.0,940.0008999946294,0.038100006349850446
48,960.0,960.0004999956582,0.03710000601131469
49,980.0,980.0007999947411,0.0394000016967766
50,1000.0,1000.005499998224,0.047299996367655694
51,1020.0,1020.0003999998444,0.03650000144261867
52,1040.0,1040.0006999989273,0.03779999678954482
53,1060.0,1060.000500001479,0.03289999585831538
54,1080.0,1080.0009999948088,0.045700006012339145
