block_index,start_sample,end_sample_exclusive,block_samples,processing_ms,rtf_block,input_peak,output_peak,warming_up,estimator_ready,speech_probable,low_energy,estimator_updates,noise_power_mean,state_memory_bytes
0,0,320,320,0.2094999945256859,0.010474999726284295,0.20477294921875,0.20477294921875,True,False,False,True,0,0.0,59232
1,320,640,320,0.7399000023724511,0.036995000118622556,0.176666259765625,0.176666259765625,True,False,False,True,1,9.379510629514698e-06,60900
2,640,960,320,0.8140999998431653,0.040704999992158264,0.176361083984375,0.176361083984375,True,False,False,True,2,7.766304406686686e-06,60900
3,960,1280,320,0.7689000049140304,0.03844500024570152,0.19024658203125,0.19024658203125,True,False,False,True,2,6.038025276211556e-06,60900
4,1280,1600,320,0.7673000000067987,0.03836500000033993,0.199737548828125,0.199737548828125,True,False,False,True,2,4.851151061302517e-06,60900
5,1600,1920,320,0.7800000021234155,0.039000000106170774,0.26043701171875,0.26043701171875,True,False,False,True,2,4.177333266852656e-06,60900
6,1920,2240,320,0.7826000000932254,0.03913000000466127,0.373748779296875,0.373748779296875,True,False,True,False,2,3.972850663558347e-06,60900
7,2240,2560,320,0.8611999946879223,0.043059999734396115,0.364105224609375,0.364105224609375,True,False,True,False,2,3.966039002989419e-06,60900
8,2560,2880,320,0.833400001283735,0.04167000006418675,0.44476318359375,0.44476318359375,True,False,True,False,2,3.958323759434279e-06,60900
9,2880,3200,320,0.8995000025606714,0.04497500012803357,0.3656005859375,0.3656005859375,True,False,True,False,2,3.9513206502306275e-06,60900
10,3200,3520,320,0.9263999963877723,0.04631999981938861,0.375152587890625,0.375152587890625,True,False,True,False,2,3.9439946704078466e-06,60900
11,3520,3840,320,1.0774999973364174,0.05387499986682087,0.423309326171875,0.423309326171875,True,False,True,False,2,3.936774191970471e-06,60900
12,3840,4160,320,1.0159000012208708,0.05079500006104354,0.39398193359375,0.39398193359375,True,True,True,False,2,3.929665126634063e-06,60900
13,4160,4480,320,2.2383999967132695,0.11191999983566348,0.39813232421875,0.3010900318622589,False,True,True,False,2,3.922740688722115e-06,60900
14,4480,4800,320,1.7854000034276396,0.08927000017138198,0.38751220703125,0.29726356267929077,False,True,True,False,2,3.916736659448361e-06,60900
15,4800,5120,320,1.6670000040903687,0.08335000020451844,0.3756103515625,0.2901732325553894,False,True,True,False,2,3.912728061550297e-06,60900
16,5120,5440,320,1.7499999958090484,0.08749999979045242,0.4149169921875,0.2824031412601471,False,True,True,False,2,3.9173473851406015e-06,60900
17,5440,5760,320,1.9429999956628308,0.09714999978314154,0.39593505859375,0.28001371026039124,False,True,True,False,2,3.931573246518383e-06,60900
18,5760,6080,320,2.3336000012932345,0.11668000006466173,0.427703857421875,0.2825402319431305,False,True,True,False,2,3.968639248341788e-06,60900
19,6080,6400,320,1.443599998310674,0.0721799999155337,0.4295654296875,0.28236016631126404,False,True,True,False,2,4.032530341646634e-06,60900
20,6400,6720,320,2.055800003290642,0.1027900001645321,0.38433837890625,0.2653355002403259,False,True,True,False,2,4.144552349316655e-06,60900
21,6720,7040,320,1.6716000027372502,0.08358000013686251,0.453399658203125,0.3023066818714142,False,True,True,False,2,4.320940661273198e-06,60900
22,7040,7360,320,1.9668000022647902,0.09834000011323951,0.370513916015625,0.26898300647735596,False,True,True,False,2,4.571165391098475e-06,60900
23,7360,7680,320,1.7939999961527064,0.08969999980763532,0.44598388671875,0.26975783705711365,False,True,False,True,2,2.2551392248715274e-05,60900
24,7680,8000,320,1.8108000003849156,0.09054000001924578,0.3809814453125,0.13004878163337708,False,True,False,True,2,3.655863838503137e-05,60900
25,8000,8320,320,1.905999997688923,0.09529999988444615,0.4041748046875,0.10731752961874008,False,True,False,True,2,4.903258377453312e-05,60900
26,8320,8640,320,2.2247000015340745,0.11123500007670373,0.4112548828125,0.10916510224342346,False,True,False,True,2,6.255229527596384e-05,60900
27,8640,8960,320,2.358300000196323,0.11791500000981614,0.38671875,0.09945140779018402,False,True,False,True,2,7.33059860067442e-05,60900
28,8960,9280,320,2.2562000012840144,0.11281000006420072,0.409423828125,0.10436748713254929,False,True,False,True,2,7.944312528707087e-05,60900
29,9280,9600,320,1.9808000070042908,0.09904000035021454,0.431427001953125,0.1065123900771141,False,True,False,True,2,8.315064042108133e-05,60900
30,9600,9920,320,2.065799999400042,0.1032899999700021,0.417877197265625,0.12266717106103897,False,True,False,True,2,8.523108408553526e-05,60900
31,9920,10240,320,1.931800004967954,0.0965900002483977,0.42431640625,0.09318245202302933,False,True,False,True,2,8.674121636431664e-05,60900
32,10240,10560,320,1.9474000000627711,0.09737000000313856,0.431915283203125,0.08816773444414139,False,True,False,True,2,8.774159505264834e-05,60900
33,10560,10880,320,1.9688000029418617,0.09844000014709309,0.406280517578125,0.08328726142644882,False,True,False,True,2,8.828854333842173e-05,60900
34,10880,11200,320,1.9919999976991676,0.09959999988495838,0.41021728515625,0.09897530823945999,False,True,False,True,2,8.854615589370951e-05,60900
35,11200,11520,320,1.9865000067511573,0.09932500033755787,0.3701171875,0.0961296483874321,False,True,False,True,2,8.874504419509321e-05,60900
36,11520,11840,320,1.999499996600207,0.09997499983001035,0.40423583984375,0.10367584973573685,False,True,False,True,2,8.871103636920452e-05,60900
37,11840,12000,160,1.3953000016044825,0.13953000016044825,0.351898193359375,0.10690662264823914,False,True,False,True,1,8.874497871147469e-05,60900
