tempo_s,freq_khz,potencia_db_rel
0.016,0,-70
0.096,0,-70
0.168,0,-70
0.248,0,-70
0.32,0,-30.775303
0.4,0,-30.430149
0.472,0,-26.002914
0.552,0,-28.202385
0.624,0,-30.01265
0.704,0,-35.218304
0.776,0,-29.592617
0.856,0,-38.852009
0.928,0,-47.938057
1.008,0,-39.75705
1.08,0,-29.186096
1.16,0,-36.879429
1.232,0,-29.930061
1.312,0,-26.630928
1.384,0,-31.392151
1.464,0,-60.468346
1.536,0,-70
1.616,0,-61.476608
1.688,0,-41.154564
1.768,0,-32.206383
1.84,0,-19.519085
1.92,0,-30.451599
1.992,0,-39.246811
2.072,0,-39.549793
2.144,0,-38.850464
2.224,0,-30.662552
2.296,0,-26.785015
2.376,0,-20.423199
2.448,0,-47.926308
2.528,0,-32.963345
2.6,0,-39.910435
2.68,0,-23.949913
2.752,0,-41.036617
2.832,0,-34.361946
2.904,0,-41.311417
2.984,0,-30.739265
0.016,0.15625,-70
0.096,0.15625,-70
0.168,0.15625,-70
0.248,0.15625,-70
0.32,0.15625,-45.028484
0.4,0.15625,-34.26701
0.472,0.15625,-23.828632
0.552,0.15625,-19.908195
0.624,0.15625,-25.162746
0.704,0.15625,-27.711613
0.776,0.15625,-24.547832
0.856,0.15625,-46.55378
0.928,0.15625,-48.250488
1.008,0.15625,-21.073158
1.08,0.15625,-34.73494
1.16,0.15625,-28.739059
1.232,0.15625,-32.099369
1.312,0.15625,-18.388668
1.384,0.15625,-16.595718
1.464,0.15625,-20.195812
1.536,0.15625,-70
1.616,0.15625,-49.722443
1.688,0.15625,-21.66386
1.768,0.15625,-35.431198
1.84,0.15625,-22.478943
1.92,0.15625,-19.564079
1.992,0.15625,-20.113365
2.072,0.15625,-61.051933
2.144,0.15625,-19.384792
2.224,0.15625,-28.7411
2.296,0.15625,-23.621754
2.376,0.15625,-24.662884
2.448,0.15625,-25.512085
2.528,0.15625,-20.472858
2.6,0.15625,-37.336334
2.68,0.15625,-25.931179
2.752,0.15625,-23.711487
2.832,0.15625,-25.925423
2.904,0.15625,-26.483429
2.984,0.15625,-32.792171
0.016,0.34375,-70
0.096,0.34375,-70
0.168,0.34375,-70
0.248,0.34375,-70
0.32,0.34375,-11.313894
0.4,0.34375,-15.296139
0.472,0.34375,-4.3936844
0.552,0.34375,-0.088468552
0.624,0.34375,-1.2980518
0.704,0.34375,-20.804218
0.776,0.34375,-25.321854
0.856,0.34375,-58.964638
0.928,0.34375,-52.591377
1.008,0.34375,-22.512409
1.08,0.34375,-16.37999
1.16,0.34375,-12.288177
1.232,0.34375,-14.123411
1.312,0.34375,-43.199234
1.384,0.34375,-29.37326
1.464,0.34375,-40.051666
1.536,0.34375,-70
1.616,0.34375,-35.94828
1.688,0.34375,-4.7864799
1.768,0.34375,-5.9040432
1.84,0.34375,-3.6398373
1.92,0.34375,-22.254742
1.992,0.34375,-24.344646
2.072,0.34375,-68.110397
2.144,0.34375,-11.909304
2.224,0.34375,-7.7804794
2.296,0.34375,-2.1214256
2.376,0.34375,-9.0438881
2.448,0.34375,-13.390299
2.528,0.34375,-20.853729
2.6,0.34375,-42.52449
2.68,0.34375,-24.655495
2.752,0.34375,-19.34362
2.832,0.34375,-9.4639702
2.904,0.34375,-15.745586
2.984,0.34375,-36.603741
0.016,0.5,-70
0.096,0.5,-70
0.168,0.5,-70
0.248,0.5,-70
0.32,0.5,-36.143215
0.4,0.5,-39.749367
0.472,0.5,-17.38055
0.552,0.5,-8.5564709
0.624,0.5,-8.7280636
0.704,0.5,-7.4162788
0.776,0.5,-22.397541
0.856,0.5,-42.615036
0.928,0.5,-51.241211
1.008,0.5,-33.87925
1.08,0.5,-25.490814
1.16,0.5,-15.944454
1.232,0.5,-14.627274
1.312,0.5,-11.510967
1.384,0.5,-13.16478
1.464,0.5,-45.526493
1.536,0.5,-70
