tempo_s,freq_khz,potencia_db_rel
0.016,0,-39.903175
0.096,0,-58.387184
0.168,0,-37.27486
0.248,0,-29.845875
0.32,0,-34.320896
0.4,0,-34.08506
0.472,0,-28.812778
0.552,0,-23.38781
0.624,0,-35.827766
0.704,0,-31.330193
0.776,0,-25.770535
0.856,0,-24.460808
0.928,0,-47.324097
1.008,0,-31.23468
1.08,0,-33.804249
1.16,0,-41.150692
1.232,0,-28.865292
1.312,0,-35.103214
1.384,0,-24.817009
1.464,0,-21.412739
1.536,0,-50.954544
1.616,0,-55.515114
1.688,0,-28.874859
1.768,0,-54.781883
1.84,0,-23.549294
1.92,0,-23.13773
1.992,0,-42.913612
2.072,0,-37.962292
2.144,0,-37.894749
2.224,0,-23.292259
2.296,0,-46.57093
2.376,0,-18.879765
2.448,0,-31.561825
2.528,0,-25.429741
2.6,0,-24.083717
2.68,0,-29.36525
2.752,0,-41.847843
2.832,0,-32.639938
2.904,0,-29.12178
2.984,0,-23.410805
0.016,0.15625,-32.349209
0.096,0.15625,-23.738197
0.168,0.15625,-25.361923
0.248,0.15625,-24.893898
0.32,0.15625,-27.993889
0.4,0.15625,-26.655815
0.472,0.15625,-31.130775
0.552,0.15625,-18.770763
0.624,0.15625,-24.922333
0.704,0.15625,-21.768532
0.776,0.15625,-24.002121
0.856,0.15625,-28.509346
0.928,0.15625,-42.651932
1.008,0.15625,-32.313919
1.08,0.15625,-22.949387
1.16,0.15625,-23.590496
1.232,0.15625,-23.986389
1.312,0.15625,-15.714752
1.384,0.15625,-18.411224
1.464,0.15625,-20.65514
1.536,0.15625,-42.156322
1.616,0.15625,-29.713634
1.688,0.15625,-18.386177
1.768,0.15625,-29.53054
1.84,0.15625,-19.472813
1.92,0.15625,-25.82497
1.992,0.15625,-18.531052
2.072,0.15625,-50.47496
2.144,0.15625,-20.219051
2.224,0.15625,-22.874535
2.296,0.15625,-26.839077
2.376,0.15625,-30.726051
2.448,0.15625,-21.11879
2.528,0.15625,-22.060837
2.6,0.15625,-25.562443
2.68,0.15625,-26.192001
2.752,0.15625,-32.785999
2.832,0.15625,-22.934982
2.904,0.15625,-26.260757
2.984,0.15625,-24.123756
0.016,0.34375,-31.088104
0.096,0.34375,-31.039886
0.168,0.34375,-40.538635
0.248,0.34375,-31.133362
0.32,0.34375,-12.490461
0.4,0.34375,-19.086945
0.472,0.34375,-6.8205128
0.552,0.34375,-2.506115
0.624,0.34375,-3.6482582
0.704,0.34375,-22.56617
0.776,0.34375,-17.823849
0.856,0.34375,-37.345058
0.928,0.34375,-27.998299
1.008,0.34375,-17.529915
1.08,0.34375,-19.488548
1.16,0.34375,-16.266251
1.232,0.34375,-18.400703
1.312,0.34375,-25.873123
1.384,0.34375,-24.822971
1.464,0.34375,-27.483353
1.536,0.34375,-51.448776
1.616,0.34375,-28.192219
1.688,0.34375,-7.7886486
1.768,0.34375,-9.2066917
1.84,0.34375,-5.3302841
1.92,0.34375,-23.525017
1.992,0.34375,-21.474609
2.072,0.34375,-25.546471
2.144,0.34375,-15.754147
2.224,0.34375,-10.448193
2.296,0.34375,-5.5277023
2.376,0.34375,-11.985376
2.448,0.34375,-16.983231
2.528,0.34375,-26.748123
2.6,0.34375,-37.221313
2.68,0.34375,-23.113937
2.752,0.34375,-20.685638
2.832,0.34375,-10.857378
2.904,0.34375,-16.645149
2.984,0.34375,-29.471336
0.016,0.5,-22.210201
0.096,0.5,-25.007515
0.168,0.5,-24.551125
0.248,0.5,-23.630447
0.32,0.5,-39.557312
0.4,0.5,-33.011139
0.472,0.5,-19.218151
0.552,0.5,-10.985229
0.624,0.5,-9.358984
0.704,0.5,-10.45583
0.776,0.5,-20.907272
0.856,0.5,-28.034275
0.928,0.5,-35.571091
1.008,0.5,-25.457268
1.08,0.5,-18.520851
1.16,0.5,-18.885536
1.232,0.5,-18.758739
1.312,0.5,-16.753956
1.384,0.5,-17.843758
1.464,0.5,-40.497524
1.536,0.5,-25.78059
1.616,0.5,-20.473057
1.688,0.5,-15.137794
1.768,0.5,-17.667065
1.84,0.5,-32.260185
1.92,0.5,-20.656475
1.992,0.5,-20.223896
2.072,0.5,-22.365669
2.144,0.5,-25.166519
2.224,0.5,-20.885166
2.296,0.5,-27.47319
2.376,0.5,-18.686401
2.448,0.5,-28.442368
2.528,0.5,-18.009003
2.6,0.5,-30.659081
2.68,0.5,-33.513805
2.752,0.5,-13.173891
2.832,0.5,-23.622742
2.904,0.5,-12.055786
2.984,0.5,-12.301552
0.016,0.6875,-30.957916
0.096,0.6875,-26.93586
0.168,0.6875,-21.52573
0.248,0.6875,-28.086967
0.32,0.6875,-21.366165
0.4,0.6875,-39.632729
0.472,0.6875,-35.978138
0.552,0.6875,-25.083885
0.624,0.6875,-28.266911
0.704,0.6875,-25.189709
0.776,0.6875,-34.71373
0.856,0.6875,-24.893166
0.928,0.6875,-20.801884
1.008,0.6875,-26.03194
1.08,0.6875,-21.132965
1.16,0.6875,-13.597023
1.232,0.6875,-18.251232
1.312,0.6875,-27.233337
1.384,0.6875,-34.986088
1.464,0.6875,-36.674522
1.536,0.6875,-23.035522
1.616,0.6875,-25.073284
1.688,0.6875,-25.725975
1.768,0.6875,-21.526024
1.84,0.6875,-32.93586
1.92,0.6875,-32.189949
1.992,0.6875,-23.398254
2.072,0.6875,-21.330257
2.144,0.6875,-35.352585
2.224,0.6875,-38.662289
