tempo_s,freq_khz,potencia_db_rel
0.016,0,-48.603951
0.096,0,-49.538841
0.168,0,-70
0.248,0,-31.038765
0.32,0,-34.459854
0.4,0,-38.81955
0.472,0,-26.921425
0.552,0,-23.440845
0.624,0,-28.969467
0.704,0,-41.351501
0.776,0,-28.944439
0.856,0,-29.386078
0.928,0,-45.903427
1.008,0,-39.58017
1.08,0,-29.380157
1.16,0,-63.2005
1.232,0,-37.922256
1.312,0,-29.683609
1.384,0,-30.390663
1.464,0,-23.688652
1.536,0,-51.156189
1.616,0,-48.713089
1.688,0,-33.150124
1.768,0,-38.992359
1.84,0,-21.296455
1.92,0,-24.028702
1.992,0,-34.176933
2.072,0,-58.519455
2.144,0,-36.872932
2.224,0,-26.372925
2.296,0,-32.12941
2.376,0,-19.51836
2.448,0,-52.550842
2.528,0,-29.732021
2.6,0,-29.741413
2.68,0,-27.705727
2.752,0,-44.81955
2.832,0,-36.827522
2.904,0,-30.13139
2.984,0,-28.279957
0.016,0.15625,-55.209732
0.096,0.15625,-31.230556
0.168,0.15625,-36.345741
0.248,0.15625,-29.643227
0.32,0.15625,-30.575169
0.4,0.15625,-31.00042
0.472,0.15625,-30.12928
0.552,0.15625,-19.785213
0.624,0.15625,-28.416412
0.704,0.15625,-24.470482
0.776,0.15625,-27.589596
0.856,0.15625,-39.119041
0.928,0.15625,-41.955151
1.008,0.15625,-30.108162
1.08,0.15625,-28.122421
1.16,0.15625,-24.385506
1.232,0.15625,-24.185459
1.312,0.15625,-15.772549
1.384,0.15625,-18.29734
1.464,0.15625,-24.505428
1.536,0.15625,-50.807396
1.616,0.15625,-38.379448
1.688,0.15625,-21.554787
1.768,0.15625,-41.821491
1.84,0.15625,-19.079193
1.92,0.15625,-23.217304
1.992,0.15625,-19.25827
2.072,0.15625,-53.022301
2.144,0.15625,-21.171612
2.224,0.15625,-22.143124
2.296,0.15625,-28.718704
2.376,0.15625,-50.364937
2.448,0.15625,-21.734489
2.528,0.15625,-22.893738
2.6,0.15625,-41.594215
2.68,0.15625,-30.149445
2.752,0.15625,-40.777359
2.832,0.15625,-27.024231
2.904,0.15625,-29.023731
2.984,0.15625,-28.940346
0.016,0.34375,-37.723915
0.096,0.34375,-44.480904
0.168,0.34375,-40.717033
0.248,0.34375,-56.822052
0.32,0.34375,-12.430939
0.4,0.34375,-18.612823
0.472,0.34375,-4.8195038
0.552,0.34375,0
0.624,0.34375,-1.4196548
0.704,0.34375,-26.167587
0.776,0.34375,-20.256641
0.856,0.34375,-60.779388
0.928,0.34375,-42.197025
1.008,0.34375,-20.068512
1.08,0.34375,-19.405998
1.16,0.34375,-15.967903
1.232,0.34375,-18.709328
1.312,0.34375,-31.102379
1.384,0.34375,-36.520298
1.464,0.34375,-38.699272
1.536,0.34375,-58.385071
1.616,0.34375,-40.272659
1.688,0.34375,-5.61133
1.768,0.34375,-7.8989525
1.84,0.34375,-3.3846951
1.92,0.34375,-25.244469
1.992,0.34375,-24.77504
2.072,0.34375,-47.074333
2.144,0.34375,-14.28495
2.224,0.34375,-9.259222
2.296,0.34375,-3.3334599
2.376,0.34375,-9.8582993
2.448,0.34375,-15.716545
2.528,0.34375,-36.907776
2.6,0.34375,-56.739349
2.68,0.34375,-25.828259
2.752,0.34375,-26.243782
2.832,0.34375,-10.094879
2.904,0.34375,-16.103279
2.984,0.34375,-48.712425
0.016,0.5,-32.598045
0.096,0.5,-44.378693
0.168,0.5,-42.058804
0.248,0.5,-28.694748
0.32,0.5,-45.139198
0.4,0.5,-51.315659
0.472,0.5,-19.877266
0.552,0.5,-9.0425472
0.624,0.5,-6.7763138
0.704,0.5,-9.3266029
0.776,0.5,-26.09803
0.856,0.5,-34.273952
0.928,0.5,-49.499855
1.008,0.5,-37.86972
1.08,0.5,-19.796108
1.16,0.5,-18.031475
1.232,0.5,-21.511459
1.312,0.5,-18.568348
1.384,0.5,-21.915096
