tempo_s,freq_khz,potencia_db_rel
0.016,0,-37.990238
0.096,0,-50.086533
0.168,0,-31.029324
0.248,0,-24.311169
0.32,0,-31.085552
0.4,0,-31.883682
0.472,0,-25.938896
0.552,0,-18.840691
0.624,0,-56.260887
0.704,0,-23.708191
0.776,0,-19.364132
0.856,0,-19.628448
0.928,0,-35.937588
1.008,0,-26.496658
1.08,0,-32.229523
1.16,0,-37.966721
1.232,0,-24.498886
1.312,0,-30.586075
1.384,0,-21.301083
1.464,0,-15.972672
1.536,0,-35.036392
1.616,0,-41.992046
1.688,0,-24.765373
1.768,0,-33.838722
1.84,0,-21.722149
1.92,0,-17.58329
1.992,0,-39.920021
2.072,0,-32.017254
2.144,0,-31.809967
2.224,0,-17.603664
2.296,0,-39.098995
2.376,0,-14.44648
2.448,0,-23.290352
2.528,0,-19.329388
2.6,0,-19.256947
2.68,0,-32.030869
2.752,0,-38.296478
2.832,0,-25.644478
2.904,0,-25.62455
2.984,0,-17.937214
0.016,0.15625,-28.007095
0.096,0.15625,-17.629612
0.168,0.15625,-20.692429
0.248,0.15625,-21.422607
0.32,0.15625,-14.902859
0.4,0.15625,-21.052708
0.472,0.15625,-21.984783
0.552,0.15625,-16.219532
0.624,0.15625,-16.031891
0.704,0.15625,-18.417107
0.776,0.15625,-25.021946
0.856,0.15625,-24.065601
0.928,0.15625,-32.435562
1.008,0.15625,-38.400776
1.08,0.15625,-18.766949
1.16,0.15625,-25.308651
1.232,0.15625,-34.567379
1.312,0.15625,-11.657425
1.384,0.15625,-13.213783
1.464,0.15625,-16.570225
1.536,0.15625,-36.53323
1.616,0.15625,-26.840977
1.688,0.15625,-11.939783
1.768,0.15625,-17.130753
1.84,0.15625,-11.068428
1.92,0.15625,-23.348946
1.992,0.15625,-13.397165
2.072,0.15625,-35.170685
2.144,0.15625,-16.808777
2.224,0.15625,-15.616074
2.296,0.15625,-17.73148
2.376,0.15625,-23.061752
2.448,0.15625,-15.504608
2.528,0.15625,-17.437553
2.6,0.15625,-21.236977
2.68,0.15625,-22.162796
2.752,0.15625,-23.460991
2.832,0.15625,-20.379669
2.904,0.15625,-18.214554
2.984,0.15625,-19.89323
0.016,0.34375,-49.206642
0.096,0.34375,-33.114456
0.168,0.34375,-34.979061
0.248,0.34375,-30.007748
0.32,0.34375,-34.313572
0.4,0.34375,-29.66885
0.472,0.34375,-13.505444
0.552,0.34375,-3.1346283
0.624,0.34375,-1.5095253
0.704,0.34375,-33.194885
0.776,0.34375,-35.580528
0.856,0.34375,-38.329739
0.928,0.34375,-38.525421
1.008,0.34375,-38.799427
1.08,0.34375,-16.577328
1.16,0.34375,-18.348309
1.232,0.34375,-24.249435
1.312,0.34375,-21.779179
1.384,0.34375,-22.28904
1.464,0.34375,-35.173111
1.536,0.34375,-37.482346
1.616,0.34375,-37.97131
1.688,0.34375,-17.25605
1.768,0.34375,-18.690731
1.84,0.34375,-6.1122227
1.92,0.34375,-30.154808
1.992,0.34375,-23.948452
2.072,0.34375,-47.614655
2.144,0.34375,-22.228394
2.224,0.34375,-12.175201
2.296,0.34375,-5.4884911
2.376,0.34375,-6.9022255
2.448,0.34375,-12.569815
2.528,0.34375,-28.098351
2.6,0.34375,-35.368958
2.68,0.34375,-32.894733
2.752,0.34375,-12.922182
2.832,0.34375,-13.018688
2.904,0.34375,-18.819546
2.984,0.34375,-31.826481
0.016,0.5,-70
0.096,0.5,-70
0.168,0.5,-70
0.248,0.5,-70
0.32,0.5,-70
0.4,0.5,-45.211552
0.472,0.5,-16.821102
0.552,0.5,-20.023224
0.624,0.5,-9.3203602
0.704,0.5,-30.036663
0.776,0.5,-70
0.856,0.5,-70
0.928,0.5,-70
1.008,0.5,-70
1.08,0.5,-21.504551
1.16,0.5,-30.662472
1.232,0.5,-23.442013
1.312,0.5,-68.942139
1.384,0.5,-70
1.464,0.5,-70
1.536,0.5,-70
1.616,0.5,-70
1.688,0.5,-17.69598
1.768,0.5,-27.485455
1.84,0.5,-25.425766
1.92,0.5,-18.463043
1.992,0.5,-70
2.072,0.5,-70
2.144,0.5,-20.36496
2.224,0.5,-16.651279
2.296,0.5,-17.672222
2.376,0.5,-21.444714
2.448,0.5,-26.695564
2.528,0.5,-70
2.6,0.5,-70
2.68,0.5,-68.663208
2.752,0.5,-18.455696
2.832,0.5,-21.936317
2.904,0.5,-17.759933
2.984,0.5,-42.927437
0.016,0.6875,-49.078278
0.096,0.6875,-46.846886
0.168,0.6875,-43.143494
0.248,0.6875,-38.58897
0.32,0.6875,-44.927498
0.4,0.6875,-45.944557
0.472,0.6875,-40.023552
0.552,0.6875,-19.117538
0.624,0.6875,-22.836445
0.704,0.6875,-38.234848
0.776,0.6875,-35.04454
0.856,0.6875,-39.519218
0.928,0.6875,-46.289551
1.008,0.6875,-37.990227
1.08,0.6875,-22.460434
1.16,0.6875,-22.998878
1.232,0.6875,-28.860386
1.312,0.6875,-27.561378
1.384,0.6875,-28.908539
1.464,0.6875,-46.840149
1.536,0.6875,-45.341721
1.616,0.6875,-42.542599
1.688,0.6875,-39.817646
1.768,0.6875,-33.881516
1.84,0.6875,-18.911034
1.92,0.6875,-40.221371
1.992,0.6875,-30.246632
2.072,0.6875,-48.486084
2.144,0.6875,-34.661812
2.224,0.6875,-37.524719
2.296,0.6875,-17.671333
2.376,0.6875,-17.883507
2.448,0.6875,-21.766487
2.528,0.6875,-32.261772
2.6,0.6875,-56.283661
2.68,0.6875,-42.442982
2.752,0.6875,-11.780346
2.832,0.6875,-12.666431
2.904,0.6875,-25.155128
2.984,0.6875,-36.650703
0.016,0.84375,-70
0.096,0.84375,-55.016365
0.168,0.84375,-56.593102
0.248,0.84375,-51.73391
0.32,0.84375,-57.222786
0.4,0.84375,-50.789375
0.472,0.84375,-61.131714
0.552,0.84375,-39.791496
0.624,0.84375,-22.607208
0.704,0.84375,-35.963486
0.776,0.84375,-57.892456
0.856,0.84375,-60.425018
0.928,0.84375,-59.318764
1.008,0.84375,-59.38472
1.08,0.84375,-25.492886
1.16,0.84375,-31.698463
1.232,0.84375,-34.112133
1.312,0.84375,-43.004684
1.384,0.84375,-43.531502
1.464,0.84375,-56.732864
1.536,0.84375,-58.887741
1.616,0.84375,-59.408203
1.688,0.84375,-46.843788
1.768,0.84375,-56.432175
1.84,0.84375,-48.396652
1.92,0.84375,-49.455109
1.992,0.84375,-45.0541
2.072,0.84375,-68.994576
2.144,0.84375,-55.184128
2.224,0.84375,-51.123917
2.296,0.84375,-40.033638
2.376,0.84375,-37.811512
2.448,0.84375,-43.432892
2.528,0.84375,-49.244057
2.6,0.84375,-57.432381
2.68,0.84375,-54.776367
2.752,0.84375,-39.938774
2.832,0.84375,-15.992676
2.904,0.84375,-30.80835
2.984,0.84375,-53.419914
0.016,1.03125,-70
0.096,1.03125,-70
0.168,1.03125,-70
0.248,1.03125,-70
0.32,1.03125,-70
0.4,1.03125,-70
0.472,1.03125,-70
0.552,1.03125,-43.439819
0.624,1.03125,-31.266605
0.704,1.03125,-37.267509
0.776,1.03125,-70
0.856,1.03125,-70
0.928,1.03125,-70
1.008,1.03125,-70
1.08,1.03125,-38.613861
1.16,1.03125,-26.416725
1.232,1.03125,-36.268394
1.312,1.03125,-70
1.384,1.03125,-70
1.464,1.03125,-70
1.536,1.03125,-70
1.616,1.03125,-70
1.688,1.03125,-70
1.768,1.03125,-70
1.84,1.03125,-58.753487
1.92,1.03125,-70
1.992,1.03125,-70
2.072,1.03125,-70
2.144,1.03125,-70
2.224,1.03125,-70
2.296,1.03125,-44.445152
2.376,1.03125,-37.527237
