tempo_s,clean,clean_empilhado,noisy,noisy_empilhado,stft_subtraction,stft_subtraction_empilhado,stft_wiener,stft_wiener_empilhado,wavelet_soft,wavelet_soft_empilhado
0,0,3,0.027009446,1.0270095,-0.0069888849,-1.0069889,-0.0050966972,-3.0050967,0.0050051403,-4.9949946
0.004625,0,3,-0.11310396,0.88689601,-0.037050247,-1.0370502,-0.055026021,-3.0550261,-0.032472372,-5.0324726
0.00925,0,3,0.19434592,1.194346,0.089176945,-0.91082305,0.12534215,-2.8746579,0.033479501,-4.9665203
0.013875,0,3,-0.13886212,0.86113787,-0.031953547,-1.0319536,-0.060458429,-3.0604584,-0.019867964,-5.0198679
0.0185,0,3,-0.20560749,0.79439253,-0.041658636,-1.0416586,-0.058810398,-3.0588105,-0.0085453605,-5.0085454
0.023125,0,3,-0.10352094,0.89647907,-0.04043787,-1.0404378,-0.061984386,-3.0619843,0.014801786,-4.985198
0.02775,0,3,0.15518986,1.1551899,0.028871113,-0.97112888,0.057681188,-2.9423189,-0.022523131,-5.0225229
0.032375,0,3,0.064517476,1.0645175,0.047121562,-0.95287842,0.059207145,-2.9407928,0.043367706,-4.9566321
0.037,0,3,-0.12537266,0.87462735,-0.032686006,-1.032686,-0.054110449,-3.0541105,0.021210808,-4.9787893
0.041625,0,3,0.27458075,1.2745807,0.083714016,-0.91628599,0.13065247,-2.8693476,0.0021973785,-4.9978027
0.04625,0,3,0.017853701,1.0178537,0.00036622977,-0.99963379,0.0050356593,-2.9949644,0.02148548,-4.9785147
0.050875,0,3,-0.040041123,0.95995885,0.0098882038,-0.99011177,0.01254337,-2.9874566,-0.012757003,-5.0127568
0.0555,0,3,0.15393858,1.1539385,0.023560781,-0.97643924,0.044985224,-2.9550147,0.060000643,-4.9399996
0.060125,0,3,-0.033754181,0.96624583,0.020173157,-0.97982687,0.019196544,-2.9808035,0.01254337,-4.9874568
0.06475,0,3,-0.22681831,0.77318168,-0.055758484,-1.0557585,-0.089390583,-3.0893905,0.025147777,-4.9748521
0.069375,0,3,-0.23728637,0.76271361,-0.053835776,-1.0538357,-0.091587961,-3.091588,-0.026154909,-5.026155
0.074,0,3,0.12457915,1.1245792,0.033662621,-0.96633738,0.052676048,-2.947324,-0.02041731,-5.0204172
0.078625,0,3,0.027528271,1.0275283,-0.018372526,-1.0183725,-0.012787523,-3.0127876,-0.086735412,-5.0867352
0.08325,0,3,-0.12485383,0.87514615,-0.014405037,-1.014405,-0.034273006,-3.0342729,-0.061038293,-5.0610385
0.087875,0,3,0.10919751,1.1091975,0.061709717,-0.9382903,0.089848369,-2.9101517,-0.00030519147,-5.0003052
0.0925,0,3,0.2487921,1.2487921,0.10291056,-0.89708942,0.15680738,-2.8431926,0.039705411,-4.9602947
0.097125,0,3,0.13504723,1.1350472,0.025971795,-0.97402823,0.03940022,-2.9605999,0.011261566,-4.9887385
0.10175,0,3,-0.0014343999,0.99856561,-0.033113275,-1.0331132,-0.033754181,-3.0337541,-0.059176628,-5.0591764
0.106375,0,3,-0.013458944,0.98654103,-0.015106977,-1.015107,-0.016236186,-3.0162363,-0.0047304682,-5.0047307
0.111,0,3,0.0043642381,1.0043643,0.022828322,-0.97717166,0.031068491,-2.9689314,0.062259056,-4.9377408
0.115625,0,3,0.01504594,1.0150459,0.014954382,-0.98504561,0.02328611,-2.9767139,0.0029603571,-4.9970398
0.12025,0,3,0.085117899,1.0851179,0.0097966464,-0.99020338,0.012726484,-2.9872735,-0.0070499228,-5.00705
0.124875,0,3,-0.35573119,0.64426881,-0.10254433,-1.1025443,-0.16394886,-3.1639488,0.036592457,-4.9634075
0.1295,0,3,-0.067783028,0.932217,-0.039369702,-1.0393697,-0.054629274,-3.0546293,0.032686006,-4.9673138
0.134125,0,3,0.2081711,1.2081711,0.055605888,-0.94439411,0.075626448,-2.9243736,0.036165189,-4.9638348
0.13875,0,3,0.030000322,1.0300003,0.045534566,-0.95446545,0.059481815,-2.9405181,-0.054537717,-5.0545378
0.143375,0,3,-0.23939219,0.76060784,-0.0879867,-1.0879867,-0.13040832,-3.1304083,-0.04178071,-5.0417805
0.148,0,3,0.15247366,1.1524737,0.04507678,-0.95492321,0.075870603,-2.9241295,0.016419301,-4.9835806
0.152625,0,3,-0.031984065,0.96801591,0.00021363403,-0.99978638,-0.0030824339,-3.0030825,0.017731626,-4.9822683
0.15725,0,3,-0.12576942,0.87423056,-0.026765293,-1.0267653,-0.042665768,-3.0426657,0.029206824,-4.9707932
0.161875,0,3,0.1021781,1.1021781,0.010315471,-0.98968452,0.025544526,-2.9744554,-0.043825496,-5.0438256
