dataset,code,category,description,sample_rate_hz,filename,size_bytes,md5,source_url,record_url,doi,license,license_note
DEMAND,DKITCHEN,domestic,kitchen,16000,DKITCHEN_16k.zip,110501049,7ffbf52d7f4699f96927846103dc8788,https://zenodo.org/api/records/1227121/files/DKITCHEN_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,DLIVING,domestic,living room,16000,DLIVING_16k.zip,80170627,46741384d9e434a0bd8b3ec1830b6052,https://zenodo.org/api/records/1227121/files/DLIVING_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,DWASHING,domestic,washing room,16000,DWASHING_16k.zip,102343250,7e5ee9437ce9409c5f9a779b6212a240,https://zenodo.org/api/records/1227121/files/DWASHING_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,NFIELD,nature,field,16000,NFIELD_16k.zip,86536782,a740046c6f4e174e16f5d568aaec5024,https://zenodo.org/api/records/1227121/files/NFIELD_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,NPARK,nature,park,16000,NPARK_16k.zip,86029332,80f1385a34d7f1705758926b57f138ce,https://zenodo.org/api/records/1227121/files/NPARK_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,NRIVER,nature,river,16000,NRIVER_16k.zip,98689565,54264db61d3fe073fb81f2e40e0d19b5,https://zenodo.org/api/records/1227121/files/NRIVER_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,OHALLWAY,office,hallway,16000,OHALLWAY_16k.zip,77941854,fe918bbb0e63e73d09ba7f4843ef33f1,https://zenodo.org/api/records/1227121/files/OHALLWAY_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,OMEETING,office,meeting room,16000,OMEETING_16k.zip,82703355,62f7cfe7fe6d30b7d8a215fe37c2dfd2,https://zenodo.org/api/records/1227121/files/OMEETING_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,OOFFICE,office,office,16000,OOFFICE_16k.zip,88995191,7b61cc2d182d5a654cb9c3101ddd4041,https://zenodo.org/api/records/1227121/files/OOFFICE_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,PCAFETER,public,cafeteria,16000,PCAFETER_16k.zip,107431494,99927d148128254141a9417d051510bb,https://zenodo.org/api/records/1227121/files/PCAFETER_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,PRESTO,public,restaurant,16000,PRESTO_16k.zip,111292815,b98d2e6854eeebb397f29a8ad7457092,https://zenodo.org/api/records/1227121/files/PRESTO_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,PSTATION,public,station,16000,PSTATION_16k.zip,119441094,d7448009f6c2aeb6ba570375df1750a3,https://zenodo.org/api/records/1227121/files/PSTATION_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,SPSQUARE,public,public square,16000,SPSQUARE_16k.zip,110928528,205d0e7b8fe74504a2f8d252fc414b9e,https://zenodo.org/api/records/1227121/files/SPSQUARE_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,STRAFFIC,transport,traffic,16000,STRAFFIC_16k.zip,118572691,2efa87262f272bbf9ba578088e81939c,https://zenodo.org/api/records/1227121/files/STRAFFIC_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,TBUS,transport,bus,16000,TBUS_16k.zip,128916709,706b11b0d8504f9f3b3f3211e91b3863,https://zenodo.org/api/records/1227121/files/TBUS_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,TCAR,transport,car,16000,TCAR_16k.zip,130045975,4d930012796bd298932245a26189f973,https://zenodo.org/api/records/1227121/files/TCAR_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
DEMAND,TMETRO,transport,metro,16000,TMETRO_16k.zip,126589090,95daf4df678e13b120e14211e6d89571,https://zenodo.org/api/records/1227121/files/TMETRO_16k.zip/content,https://zenodo.org/records/1227121,10.5281/zenodo.1227121,CC BY-SA 3.0,"O texto descritivo do registro Zenodo informa CC BY-SA 3.0 para obra, audio e documento; o metadado atual de direitos no Zenodo tambem deve ser conferido antes de redistribuir derivados."
