dataset,code,category,description,channel,segment_index,source_archive,source_member,output_wav,sample_rate_hz,duration_s,samples,preprocessing,status,message
DEMAND,DKITCHEN,domestic,kitchen,1,1,dados\external\demand\DKITCHEN_16k.zip,DKITCHEN/ch01.wav,dados\demo\noise_demand\dkitchen_ch01_seg01.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,DKITCHEN,domestic,kitchen,1,2,dados\external\demand\DKITCHEN_16k.zip,DKITCHEN/ch01.wav,dados\demo\noise_demand\dkitchen_ch01_seg02.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,DKITCHEN,domestic,kitchen,1,3,dados\external\demand\DKITCHEN_16k.zip,DKITCHEN/ch01.wav,dados\demo\noise_demand\dkitchen_ch01_seg03.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,OOFFICE,office,office,1,1,dados\external\demand\OOFFICE_16k.zip,OOFFICE/ch01.wav,dados\demo\noise_demand\ooffice_ch01_seg01.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,OOFFICE,office,office,1,2,dados\external\demand\OOFFICE_16k.zip,OOFFICE/ch01.wav,dados\demo\noise_demand\ooffice_ch01_seg02.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,OOFFICE,office,office,1,3,dados\external\demand\OOFFICE_16k.zip,OOFFICE/ch01.wav,dados\demo\noise_demand\ooffice_ch01_seg03.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,PCAFETER,public,cafeteria,1,1,dados\external\demand\PCAFETER_16k.zip,PCAFETER/ch01.wav,dados\demo\noise_demand\pcafeter_ch01_seg01.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,PCAFETER,public,cafeteria,1,2,dados\external\demand\PCAFETER_16k.zip,PCAFETER/ch01.wav,dados\demo\noise_demand\pcafeter_ch01_seg02.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,PCAFETER,public,cafeteria,1,3,dados\external\demand\PCAFETER_16k.zip,PCAFETER/ch01.wav,dados\demo\noise_demand\pcafeter_ch01_seg03.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,STRAFFIC,transport,traffic,1,1,dados\external\demand\STRAFFIC_16k.zip,STRAFFIC/ch01.wav,dados\demo\noise_demand\straffic_ch01_seg01.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,STRAFFIC,transport,traffic,1,2,dados\external\demand\STRAFFIC_16k.zip,STRAFFIC/ch01.wav,dados\demo\noise_demand\straffic_ch01_seg02.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
DEMAND,STRAFFIC,transport,traffic,1,3,dados\external\demand\STRAFFIC_16k.zip,STRAFFIC/ch01.wav,dados\demo\noise_demand\straffic_ch01_seg03.wav,16000,3.0,48000,"single channel, mono float32, peak normalization, fixed non-overlapping segments",prepared,
