metodo,snr_alvo_db,snr_saida_medio_db,melhoria_snr_media_db,mse_medio,si_sdr_medio_db,tempo_medio_s,rtf_medio,memoria_media_kb
noisy,-5,-5.000000058490824,0.0,0.07307523047751673,-5.003785291372708,6.72999958624132e-06,2.243333195413773e-06,187.5
stft_subtraction,-5,4.634787254336203,9.634787312827026,0.013248000216804931,2.9575402181717356,0.006222609999531415,0.002074203333177138,1788.9609375
stft_wiener,-5,2.464230165419867,7.46423022391069,0.01976281302102923,1.3748191568812531,0.0036573349994796444,0.0012191116664932147,1788.9609375
wavelet_soft,-5,-2.8485531796844343,2.151446878806389,0.051059136465975284,-7.225448615106693,0.0009827699999732432,0.000327589999991081,375.25
noisy,0,-4.803521902133409e-08,0.0,0.02310841682941506,-0.006510353889027586,6.804999975429382e-06,2.268333325143127e-06,187.5
stft_subtraction,0,8.42414434945589,8.424144397491109,0.00490841123680678,7.761624324925758,0.006145694999759144,0.002048564999919715,1788.9609375
stft_wiener,0,6.8913949275366395,6.891394975571859,0.006734344356220093,6.377561039748995,0.003658634999737842,0.001219544999912614,1788.9609375
wavelet_soft,0,1.1571404906077292,1.157140538642948,0.018635881991429407,-1.1304278733802526,0.0009834200000113924,0.0003278066666704641,375.25
noisy,5,5.000000007458931,0.0,0.007307522927719257,4.991846929328645,6.999999823165126e-06,2.3333332743883756e-06,187.5
stft_subtraction,5,12.14681117943374,7.146811171974809,0.001880031998862808,12.058554014039192,0.006124604999786243,0.0020415349999287477,1788.9609375
stft_wiener,5,11.218079182008719,6.218079174549787,0.0023423017299668367,11.00713610352754,0.003700379999463621,0.001233459999821207,1788.9609375
wavelet_soft,5,5.145412325977738,0.14541231851880626,0.00717008575579825,4.082421625860281,0.0009634199997890392,0.0003211399999296797,375.25
noisy,10,9.999999963931304,0.0,0.0023108416810600487,9.990888237837481,6.969999958528206e-06,2.323333319509402e-06,187.5
stft_subtraction,10,15.89173299473362,5.891733030802316,0.0007365564428856092,16.11638379818559,0.006189954999717884,0.0020633183332392944,1788.9609375
stft_wiener,10,15.489365651057057,5.489365687125753,0.0008277815092436003,15.435827939237564,0.0036933650002538344,0.001231121666751278,1788.9609375
wavelet_soft,10,9.078371197609702,-0.9216287663216004,0.0029057413540550044,8.714586194034444,0.0009313950002251658,0.0003104650000750553,375.25
